Operon,Gene,Strand,CDS_start,CDS_end,Gene number,TS,PS,cPS,uPS,iPS,Pattern,,,,,,,,
288,Ccel_0562,+,649040,650236,1,,0,0,0,0,,,,,,,,,
289,Ccel_0563,-,650240,650560,1,,0,0,0,0,,,,,,,,,
290,"Ccel_0564,Ccel_0565,Ccel_0566,Ccel_0567",+,650712,653642,4,,0,0,0,0,Complex,,,,,,,,
291,Ccel_0568,-,653689,654180,1,,1,0,1,0,,,,,,,,,
292,"Ccel_R0018,Ccel_R0019,Ccel_R0020,Ccel_R0021,Ccel_R0022",+,654800,661710,5,,0,0,0,0,Unknown,,,,,,,,
293,"Ccel_0569,Ccel_0570",+,661867,663286,2,,0,0,0,0,Up,,,,,,,,
294,"Ccel_0571,Ccel_0572",+,663461,664744,2,,0,0,0,0,Down,,,,,,,,
295,"Ccel_0573,Ccel_0574,Ccel_0575,Ccel_0576,Ccel_0577,Ccel_0578,Ccel_0579,Ccel_0580,Ccel_0581,Ccel_0582",+,664778,673870,10,,0,0,0,0,Complex,,,,,,,,
296,"Ccel_0583,Ccel_0584,Ccel_0585",+,674523,678833,3,,0,0,0,0,Complex,,,,,,,,
297,Ccel_0586,-,679000,680046,1,,0,0,0,0,,,,,,,,,
298,Ccel_0587,-,680220,680423,1,680454,0,0,0,0,,,,,,,,,
299,"Ccel_0588,Ccel_0589",+,680587,682265,2,680561,0,0,0,0,Down,,,,,,,,
300,Ccel_0590,-,682411,683508,1,,0,0,0,0,,,,,,,,,
301,Ccel_0591,+,683775,684176,1,,0,0,0,0,,,,,,,,,
302,Ccel_0592,-,684245,684835,1,684875,0,0,0,0,,,,,,,,,
303,Ccel_0593,-,684929,685828,1,,0,0,0,0,,,,,,,,,
304,"Ccel_0594,Ccel_0595,Ccel_0596",+,685999,689290,3,,0,0,0,0,Up,,,,,,,,
305,"Ccel_0597,Ccel_0598,Ccel_0599,Ccel_0600",+,689346,691420,4,689173,0,0,0,0,Down,,,,,,,,
306,Ccel_0601,+,691566,694082,1,691540,0,0,0,0,,,,,,,,,
307,Ccel_0602,+,694278,696038,1,,0,0,0,0,,,,,,,,,
308,Ccel_0603,+,696139,698190,1,,1,0,1,0,,,,,,,,,
309,Ccel_0604,+,698254,699108,1,698218,0,0,0,0,,,,,,,,,
310,Ccel_0605,+,699556,701124,1,,0,0,0,0,,,,,,,,,
311,"Ccel_0606,Ccel_0607,Ccel_0608,Ccel_0609,Ccel_0610",+,701307,706096,5,,0,0,0,0,Complex,,,,,,,,
312,"Ccel_0611,Ccel_0612,Ccel_0613,Ccel_0614,Ccel_0615,Ccel_0616,Ccel_0617,Ccel_0618",+,706340,716195,8,,0,0,0,0,Complex,,,,,,,,
313,"Ccel_0619,Ccel_0620",+,716250,717811,2,,0,0,0,0,Up,,,,,,,,
314,"Ccel_0621,Ccel_0622",+,717886,719076,2,,0,0,0,0,Down,,,,,,,,
315,Ccel_0623,+,719243,721087,1,719223,0,0,0,0,,,,,,,,,
316,Ccel_0624,-,721132,722151,1,,0,0,0,0,,,,,,,,,
317,Ccel_0625,-,722223,723473,1,,0,0,0,0,,,,,,,,,
318,"Ccel_0626,Ccel_0627,Ccel_0628",+,723716,728092,3,,1,0,0,1,Up,,,,,,,,
319,Ccel_0629,-,728172,729179,1,729190,0,0,0,0,,,,,,,,,
320,Ccel_0630,+,729310,730209,1,,0,0,0,0,,,,,,,,,
321,"Ccel_0631,Ccel_0632",+,730322,731354,2,730297,0,0,0,0,Down,,,,,,,,
322,Ccel_0633,-,731390,732193,1,,0,0,0,0,,,,,,,,,
323,Ccel_R0023,-,732655,732730,1,732753,0,0,0,0,,,,,,,,,
324,"Ccel_0634,Ccel_0635",+,732903,734583,2,732890,0,0,0,0,Up,,,,,,,,
325,Ccel_0636,+,734747,735076,1,734711,0,0,0,0,,,,,,,,,
326,Ccel_0637,+,735146,735601,1,,0,0,0,0,,,,,,,,,
327,"Ccel_0638,Ccel_0639,Ccel_0640",-,735742,738261,3,738292,0,0,0,0,Complex,,,,,,,,
328,Ccel_0641,-,738486,739031,1,,0,0,0,0,,,,,,,,,
329,Ccel_0642,+,739192,739833,1,,0,0,0,0,,,,,,,,,
330,Ccel_0643,-,739911,741539,1,,0,0,0,0,,,,,,,,,
331,"Ccel_0644,Ccel_0645,Ccel_0646",+,741721,744171,3,741689,0,0,0,0,Complex,,,,,,,,
332,Ccel_0647,+,744280,744462,1,744239,0,0,0,0,,,,,,,,,
333,Ccel_0648,+,744677,750064,1,744574,0,0,0,0,,,,,,,,,
334,Ccel_0649,+,750568,752166,1,,0,0,0,0,,,,,,,,,
335,Ccel_0650,+,752403,753686,1,,0,0,0,0,,,,,,,,,
336,Ccel_0651,+,754136,754402,1,,0,0,0,0,,,,,,,,,
337,Ccel_0652,-,754502,755587,1,,0,0,0,0,,,,,,,,,
338,Ccel_0653,-,755832,757000,1,,0,0,0,0,,,,,,,,,
339,Ccel_0654,-,756993,758585,1,,0,0,0,0,,,,,,,,,
340,Ccel_0655,+,758851,759054,1,,0,0,0,0,,,,,,,,,
341,"Ccel_0656,Ccel_0657",+,759048,761414,2,,0,0,0,0,Down,,,,,,,,
342,Ccel_0658,-,761668,761964,1,,0,0,0,0,,,,,,,,,
343,Ccel_0659,+,762096,762614,1,,0,0,0,0,,,,,,,,,
344,"Ccel_0660,Ccel_0661",+,762748,767243,2,,0,0,0,0,Down,,,,,,,,
345,"Ccel_0662,Ccel_0663",+,767327,768797,2,,0,0,0,0,Up,,,,,,,,
346,Ccel_0664,+,768860,769126,1,,0,0,0,0,,,,,,,,,
347,"Ccel_0665,Ccel_0666",-,769138,770928,2,770953,0,0,0,0,Flat,,,,,,,,
348,"Ccel_0667,Ccel_0668,Ccel_0669,Ccel_0670",+,771205,775424,4,771150,1,0,0,1,Complex,,,,,,,,
349,Ccel_0671,-,775471,776178,1,776195,0,0,0,0,,,,,,,,,
350,Ccel_0672,+,776359,777066,1,776310,0,0,0,0,,,,,,,,,
351,Ccel_0673,-,777149,778156,1,,0,0,0,0,,,,,,,,,
352,"Ccel_0674,Ccel_0675",+,778431,781324,2,778306,0,0,0,0,Down,,,,,,,,
353,Ccel_0676,+,781418,782461,1,,0,0,0,0,,,,,,,,,
354,Ccel_0677,+,782581,783234,1,,0,0,0,0,,,,,,,,,
355,"Ccel_0678,Ccel_0679",+,783365,785309,2,,0,0,0,0,Flat,,,,,,,,
356,"Ccel_0680,Ccel_0681,Ccel_0682,Ccel_0683,Ccel_0684",+,785585,789979,5,785535,1,1,0,0,Flat,,,,,,,,
357,Ccel_0685,+,790098,790325,1,,0,0,0,0,,,,,,,,,
358,Ccel_0686,+,790464,791699,1,,1,0,1,0,,,,,,,,,
359,"Ccel_0687,Ccel_0688",+,791833,793573,2,,0,0,0,0,Up,,,,,,,,
360,Ccel_0689,+,793708,793968,1,793651,0,0,0,0,,,,,,,,,
361,Ccel_0690,-,794015,794686,1,,0,0,0,0,,,,,,,,,
362,Ccel_0691,-,794807,795376,1,,0,0,0,0,,,,,,,,,
363,Ccel_0692,-,795826,797109,1,797177,0,0,0,0,,,,,,,,,
364,Ccel_0693,-,797379,797792,1,797799,0,0,0,0,,,,,,,,,
365,"Ccel_0694,Ccel_0695",+,798023,799971,2,,0,0,0,0,Up,,,,,,,,
366,"Ccel_0696,Ccel_0697,Ccel_0698",+,800102,807528,3,800039,0,0,0,0,Up,,,,,,,,
367,"Ccel_0699,Ccel_0700,Ccel_0701",+,807801,810972,3,807645,0,0,0,0,Up,,,,,,,,
368,"Ccel_0702,Ccel_0703,Ccel_0704",+,811410,816282,3,,1,0,0,1,Up,,,,,,,,
369,Ccel_0705,-,816354,817199,1,,0,0,0,0,,,,,,,,,
370,Ccel_0706,-,817223,818875,1,,0,0,0,0,,,,,,,,,
371,Ccel_0707,+,819322,820098,1,819297,0,0,0,0,,,,,,,,,
372,"Ccel_0708,Ccel_0709,Ccel_0710,Ccel_0711,Ccel_0712,Ccel_0713",+,820218,823932,6,,3,0,0,3,Complex,,,,,,,,
373,Ccel_0714,+,824050,824400,1,823987,0,0,0,0,,,,,,,,,
374,"Ccel_0715,Ccel_0716",+,824556,826163,2,,0,0,0,0,Flat,,,,,,,,
375,"Ccel_0717,Ccel_0718,Ccel_0719,Ccel_0720,Ccel_0721",+,826291,830583,5,,0,0,0,0,Complex,,,,,,,,
376,Ccel_0722,+,831169,832446,1,,0,0,0,0,,,,,,,,,
377,Ccel_0723,+,832690,834117,1,,0,0,0,0,,,,,,,,,
378,Ccel_0724,+,834215,834949,1,,0,0,0,0,,,,,,,,,
379,Ccel_0725,+,835058,836170,1,,0,0,0,0,,,,,,,,,
380,"Ccel_0726,Ccel_0727",+,836291,837198,2,,0,0,0,0,Down,,,,,,,,
381,"Ccel_0728,Ccel_0729,Ccel_0730,Ccel_0731,Ccel_0732,Ccel_0733,Ccel_0734,Ccel_0735,Ccel_0736,Sez_0821,Ccel_0737,Ccel_0738,Ccel_0739,Ccel_0740",+,838275,864108,14,,16,8,2,6,Complex,,,,,,,,
382,Ccel_0741,-,864211,865176,1,865210,0,0,0,0,,,,,,,,,
383,Ccel_0742,+,865353,866450,1,,0,0,0,0,,,,,,,,,
384,Ccel_0743,+,866523,867272,1,,0,0,0,0,,,,,,,,,
385,Ccel_0744,-,867284,868240,1,,0,0,0,0,,,,,,,,,
386,"Ccel_0745,Ccel_0746,Ccel_0747",+,868402,873489,3,,0,0,0,0,Up,,,,,,,,
387,Ccel_0748,+,873713,874177,1,,0,0,0,0,,,,,,,,,
388,Ccel_0749,+,874457,876088,1,,0,0,0,0,,,,,,,,,
389,Ccel_0750,+,876246,877142,1,876216,0,0,0,0,,,,,,,,,
390,Ccel_0751,-,877285,878328,1,878387,0,0,0,0,,,,,,,,,
391,"Ccel_0752,Ccel_0753",+,878565,882669,2,,0,0,0,0,Down,,,,,,,,
392,Ccel_0754,+,882843,884126,1,,0,0,0,0,,,,,,,,,
393,Ccel_0755,+,884578,886518,1,,0,0,0,0,,,,,,,,,
394,Ccel_0756,-,886709,886912,1,,1,0,1,0,,,,,,,,,
395,"Ccel_R0024,Ccel_R0025,Ccel_R0026,Ccel_R0027",+,887840,893697,4,,0,0,0,0,Unknown,,,,,,,,
396,"Ccel_0757,Ccel_0758,Ccel_0759,Ccel_0760,Ccel_0761,Ccel_0762,Ccel_0763,Ccel_0764,Ccel_0765,Ccel_0766,Ccel_0767,Ccel_0768,Ccel_0769,Ccel_0770,Ccel_0771,Ccel_0772,Ccel_0773,Ccel_0774,Ccel_0775,Ccel_0776,Ccel_0777,Ccel_0778,Ccel_0779,Ccel_0780",+,894101,906620,24,,7,3,0,4,Complex,,,,,,,,
397,"Ccel_0781,Ccel_0782,Ccel_0783,Ccel_0784,Ccel_0785,Ccel_0786,Ccel_0787,Ccel_0788",+,906728,910837,8,906655,2,1,0,1,Complex,,,,,,,,
398,Ccel_0789,+,910981,911826,1,,0,0,0,0,,,,,,,,,
399,Ccel_0790,-,911830,912426,1,912442,0,0,0,0,,,,,,,,,
400,"Ccel_0791,Ccel_0792,Ccel_0793",+,912581,915016,3,,0,0,0,0,Up,,,,,,,,
401,"Ccel_0794,Ccel_0795",+,915262,916107,2,915178,0,0,0,0,Flat,,,,,,,,
402,Ccel_0796,-,916171,917475,1,,0,0,0,0,,,,,,,,,
403,Ccel_0797,-,917921,918400,1,,0,0,0,0,,,,,,,,,
404,"Ccel_0798,Ccel_0799,Ccel_0800,Ccel_0801,Ccel_0802",+,918624,923876,5,,0,0,0,0,Complex,,,,,,,,
405,"Ccel_0803,Ccel_0804,Ccel_0805",+,923982,925992,3,923924,0,0,0,0,Complex,,,,,,,,
406,Ccel_0806,+,926099,926356,1,,0,0,0,0,,,,,,,,,
407,"Ccel_0807,Ccel_0808",+,926527,929091,2,,0,0,0,0,Down,,,,,,,,
408,Ccel_0809,+,929329,930615,1,929219,0,0,0,0,,,,,,,,,
409,"Ccel_0810,Ccel_0811",+,930721,932614,2,,0,0,0,0,Up,,,,,,,,
410,Ccel_0812,+,932762,934444,1,,0,0,0,0,,,,,,,,,
411,Ccel_0813,+,934915,935106,1,,0,0,0,0,,,,,,,,,
412,Ccel_0814,+,935299,936327,1,935285,0,0,0,0,,,,,,,,,
413,"Ccel_0815,Ccel_0816",-,936615,937733,2,937772,0,0,0,0,Down,,,,,,,,
414,"Ccel_0817,Ccel_0818",+,937920,939324,2,937841,0,0,0,0,Up,,,,,,,,
415,Ccel_0819,+,939487,939951,1,,0,0,0,0,,,,,,,,,
416,Ccel_0820,+,940698,941834,1,,0,0,0,0,,,,,,,,,
417,Ccel_0821,+,941888,942139,1,941862,0,0,0,0,,,,,,,,,
418,Ccel_0822,+,942458,943231,1,,0,0,0,0,,,,,,,,,
419,Ccel_0823,+,943381,944427,1,,0,0,0,0,,,,,,,,,
420,Ccel_0824,-,944862,946011,1,,0,0,0,0,,,,,,,,,
421,"Ccel_0825,Ccel_0826,Ccel_0827,Ccel_0828,Ccel_0829",+,946068,949997,5,,0,0,0,0,Complex,,,,,,,,
422,Ccel_0830,+,950124,950450,1,950097,0,0,0,0,,,,,,,,,
423,Ccel_0831,+,950550,950801,1,,0,0,0,0,,,,,,,,,
424,"Ccel_0832,Ccel_0833",+,950810,951678,2,,0,0,0,0,Flat,,,,,,,,
425,Ccel_0834,+,951817,952572,1,,0,0,0,0,,,,,,,,,
426,Ccel_0835,+,952739,953512,1,952652,0,0,0,0,,,,,,,,,
427,Ccel_0836,+,953728,954096,1,,0,0,0,0,,,,,,,,,
428,Ccel_0837,-,954247,954702,1,,1,1,0,0,,,,,,,,,
429,Ccel_0838,+,954846,954929,1,,0,0,0,0,,,,,,,,,
430,"Ccel_0839,Ccel_0840",-,955171,958220,2,,0,0,0,0,Up,,,,,,,,
431,Ccel_0841,+,958504,959406,1,958388,0,0,0,0,,,,,,,,,
432,Ccel_0842,-,959604,960274,1,,0,0,0,0,,,,,,,,,
433,Ccel_0843,+,960481,961630,1,,0,0,0,0,,,,,,,,,
434,Ccel_0844,+,962504,963049,1,,0,0,0,0,,,,,,,,,
435,Ccel_0845,-,963262,964020,1,,0,0,0,0,,,,,,,,,
436,Ccel_0846,+,964057,965040,1,964021,0,0,0,0,,,,,,,,,
437,Ccel_R0028,-,965367,965440,1,965461,0,0,0,0,,,,,,,,,
438,"Ccel_0847,Ccel_0848",+,965715,966896,2,965699,0,0,0,0,Down,,,,,,,,
439,"Ccel_0849,Ccel_0850,Ccel_0851,Ccel_0852",+,967741,970780,4,,0,0,0,0,Complex,,,,,,,,
440,Ccel_0853,-,970817,970980,1,,0,0,0,0,,,,,,,,,
441,Ccel_0854,+,971277,973688,1,,0,0,0,0,,,,,,,,,
442,"Ccel_0855,Ccel_0856,Ccel_0857,Ccel_0858,Ccel_0859,Ccel_0860,Ccel_0861,Ccel_0862,Ccel_0863,Ccel_0864",+,973821,1041046,10,973745,2,1,0,1,Complex,,,,,,,,
443,"Ccel_0865,Ccel_0866,Ccel_0867,Ccel_0868,Ccel_0869,Ccel_0870,Ccel_0871,Ccel_0872,Ccel_0873,Ccel_0874,Ccel_0875,Ccel_0876",+,1041504,1053705,12,1041454,0,0,0,0,Down,,,,,,,,
444,Ccel_0877,+,1054243,1055553,1,,0,0,0,0,,,,,,,,,
445,"Ccel_0878,Ccel_0879,Ccel_0880",-,1055703,1058312,3,,0,0,0,0,Complex,,,,,,,,
446,Ccel_0881,-,1058505,1059806,1,1059830,0,0,0,0,,,,,,,,,
447,Ccel_0882,-,1060086,1060367,1,,0,0,0,0,,,,,,,,,
448,"Ccel_0883,Ccel_0884",-,1060446,1062409,2,,0,0,0,0,Down,,,,,,,,
449,Ccel_0885,+,1062637,1063491,1,1062584,0,0,0,0,,,,,,,,,
450,"Ccel_0886,Ccel_0887",+,1063678,1065100,2,,0,0,0,0,Up,,,,,,,,
451,"Ccel_0888,Ccel_0889,Ccel_0890,Ccel_0891,Ccel_0892",+,1065311,1069634,5,,0,0,0,0,Complex,,,,,,,,
452,"Ccel_0893,Ccel_0894",+,1069856,1071832,2,1069845,0,0,0,0,Up,,,,,,,,
453,Ccel_0895,+,1072014,1072433,1,,0,0,0,0,,,,,,,,,
454,Ccel_0896,+,1072646,1074466,1,,0,0,0,0,,,,,,,,,
455,Ccel_0897,+,1074607,1075968,1,,0,0,0,0,,,,,,,,,
456,"Ccel_0898,Ccel_0899,Ccel_0900",+,1076027,1078790,3,,0,0,0,0,Complex,,,,,,,,
457,Ccel_0901,-,1078909,1079925,1,1079945,0,0,0,0,,,,,,,,,
458,"Ccel_0902,Ccel_0903",+,1080114,1081371,2,1080048,0,0,0,0,Down,,,,,,,,
459,"Ccel_0904,Ccel_0905",+,1081918,1083338,2,,0,0,0,0,Up,,,,,,,,
460,"Ccel_0906,Ccel_0907",+,1083822,1085748,2,1083764,0,0,0,0,Down,,,,,,,,
461,Ccel_0908,-,1085974,1087125,1,,0,0,0,0,,,,,,,,,
462,"Ccel_0909,Ccel_0910",+,1087341,1088873,2,,0,0,0,0,Down,,,,,,,,
463,Ccel_0911,+,1089200,1089940,1,,0,0,0,0,,,,,,,,,
464,Ccel_0912,+,1090385,1090639,1,,0,0,0,0,,,,,,,,,
465,Ccel_0913,+,1090776,1091003,1,,0,0,0,0,,,,,,,,,
466,Ccel_0914,-,1091613,1091707,1,,0,0,0,0,,,,,,,,,
467,Ccel_0915,+,1091799,1092653,1,,0,0,0,0,,,,,,,,,
468,"Ccel_0916,Ccel_0917,Ccel_0918",+,1092650,1094913,3,1092554,0,0,0,0,Up,,,,,,,,
469,Ccel_0919,-,1095197,1096243,1,,0,0,0,0,,,,,,,,,
470,Ccel_0920,-,1096520,1097695,1,,0,0,0,0,,,,,,,,,
471,Ccel_0921,+,1097940,1098020,1,,0,0,0,0,,,,,,,,,
472,Ccel_0922,+,1098275,1100443,1,1098243,0,0,0,0,,,,,,,,,
473,Ccel_0923,+,1100519,1101328,1,1100492,0,0,0,0,,,,,,,,,
474,Ccel_0924,-,1101418,1101864,1,1101882,0,0,0,0,,,,,,,,,
475,Ccel_0925,+,1101942,1102087,1,,0,0,0,0,,,,,,,,,
476,"Ccel_0926,Ccel_0927,Ccel_0928,Ccel_0929,Ccel_0930",+,1102654,1106338,5,,0,0,0,0,Complex,,,,,,,,
477,Ccel_0931,+,1107142,1108413,1,,0,0,0,0,,,,,,,,,
478,"Ccel_0932,Ccel_0933,Ccel_0934,Ccel_0935,Ccel_0936",+,1109161,1114215,5,,3,1,0,2,Complex,,,,,,,,
479,Ccel_0937,-,1114950,1116124,1,,0,0,0,0,,,,,,,,,
480,"Ccel_0939,Ccel_0940",+,1116382,1117996,2,,0,0,0,0,Down,,,,,,,,
481,Ccel_0941,-,1118193,1119074,1,,0,0,0,0,,,,,,,,,
482,Ccel_0942,-,1119107,1120480,1,,0,0,0,0,,,,,,,,,
483,Ccel_0943,-,1120538,1121911,1,,0,0,0,0,,,,,,,,,
484,"Ccel_0944,Ccel_0945",+,1122427,1125888,2,,1,0,1,0,Down,,,,,,,,
485,Ccel_0946,+,1126262,1127230,1,,0,0,0,0,,,,,,,,,
486,Ccel_0947,+,1127266,1128162,1,,0,0,0,0,,,,,,,,,
487,Ccel_0948,+,1128233,1129810,1,,0,0,0,0,,,,,,,,,
488,Ccel_0949,+,1129898,1131271,1,,0,0,0,0,,,,,,,,,
489,Ccel_0950,+,1131299,1132606,1,,0,0,0,0,,,,,,,,,
490,Ccel_0951,+,1132664,1133962,1,,0,0,0,0,,,,,,,,,
491,"Ccel_0952,Ccel_0953,Ccel_0954",+,1134009,1137187,3,1133926,0,0,0,0,Up,,,,,,,,
492,Ccel_0955,+,1137381,1138016,1,1137364,0,0,0,0,,,,,,,,,
493,"Ccel_0956,Ccel_0957",+,1138285,1139269,2,1138269,0,0,0,0,Up,,,,,,,,
494,Ccel_0958,-,1139320,1139721,1,1139736,0,0,0,0,,,,,,,,,
495,Ccel_0959,+,1140743,1140970,1,,0,0,0,0,,,,,,,,,
496,Ccel_0960,-,1141195,1141869,1,1142047,0,0,0,0,,,,,,,,,
497,Ccel_0961,+,1142326,1143636,1,1142197,0,0,0,0,,,,,,,,,
498,"Ccel_0962,Ccel_0963,Ccel_0964,Ccel_0965",+,1144133,1155846,4,,0,0,0,0,Complex,,,,,,,,
499,"Ccel_0966,Ccel_0967",-,1155938,1157665,2,1157744,0,0,0,0,Flat,,,,,,,,
500,"Ccel_0968,Ccel_0969,Ccel_0970,Ccel_0971,Ccel_0972,Ccel_0973,Ccel_0974,Ccel_0975,Ccel_0976,Ccel_0977,Ccel_0978,Ccel_0979,Ccel_0980,Ccel_0981,Ccel_0982,Ccel_0983,Ccel_0984,Ccel_0985,Ccel_0986,Ccel_0987,Ccel_0988,Ccel_0989",+,1158180,1218409,22,,0,0,0,0,Complex,,,,,,,,
501,"Ccel_0990,Ccel_0991",-,1218539,1221832,2,,0,0,0,0,Down,,,,,,,,
502,Ccel_0992,+,1222003,1225173,1,,0,0,0,0,,,,,,,,,
503,Ccel_0993,+,1225844,1232704,1,,0,0,0,0,,,,,,,,,
504,"Ccel_0994,Ccel_0995,Ccel_0996",+,1232920,1237775,3,,0,0,0,0,Up,,,,,,,,
505,Ccel_0997,-,1237684,1239477,1,,0,0,0,0,,,,,,,,,
506,"Ccel_0998,Ccel_0999,Ccel_1000",+,1239924,1243099,3,,0,0,0,0,Up,,,,,,,,
507,Ccel_1001,-,1243241,1244164,1,,0,0,0,0,,,,,,,,,
508,Ccel_1002,+,1244410,1245879,1,,0,0,0,0,,,,,,,,,
509,Ccel_1003,-,1245888,1246757,1,1246828,0,0,0,0,,,,,,,,,
510,Ccel_1004,+,1246895,1249270,1,,0,0,0,0,,,,,,,,,
511,Ccel_1005,+,1249461,1250471,1,1249438,0,0,0,0,,,,,,,,,
512,"Ccel_1006,Ccel_1007,Ccel_1008",+,1250623,1254540,3,,0,0,0,0,Complex,,,,,,,,
513,"Ccel_1009,Ccel_1010",+,1254633,1256115,2,,0,0,0,0,Flat,,,,,,,,
514,Ccel_1011,-,1256230,1257645,1,1257681,0,0,0,0,,,,,,,,,
515,Ccel_1012,-,1257836,1258660,1,,0,0,0,0,,,,,,,,,
516,Ccel_1013,+,1258840,1261941,1,,0,0,0,0,,,,,,,,,
517,"Ccel_1014,Ccel_1015,Ccel_1016",+,1262279,1266034,3,,0,0,0,0,Down,,,,,,,,
518,"Ccel_1017,Ccel_1018,Ccel_1019",+,1266173,1269521,3,1266153,0,0,0,0,Down,,,,,,,,
519,Ccel_1020,+,1269972,1272251,1,,0,0,0,0,,,,,,,,,
520,Ccel_1021,+,1272471,1273295,1,1272442,0,0,0,0,,,,,,,,,
521,"Ccel_1022,Ccel_1023,Ccel_1024",+,1273613,1276909,3,,0,0,0,0,Up,,,,,,,,
522,"Ccel_1025,Ccel_1026,Ccel_1027,Ccel_1028,Ccel_1029,Ccel_1030,Ccel_1031,Ccel_1032,Ccel_1033",+,1277219,1286951,9,1277155,0,0,0,0,Complex,,,,,,,,
523,"Ccel_1034,Ccel_1035,Ccel_1036,Ccel_1037",+,1287008,1290526,4,1286971,0,0,0,0,Complex,,,,,,,,
524,Ccel_1038,+,1290958,1293480,1,,0,0,0,0,,,,,,,,,
525,"Ccel_1039,Ccel_1040,Ccel_1041,Ccel_1042,Ccel_1043,Ccel_1044,Ccel_1045,Ccel_1046,Ccel_1047,Ccel_1048,Ccel_1049",+,1294109,1304391,11,,1,0,0,1,Complex,,,,,,,,
526,"Ccel_1050,Ccel_1051",-,1304447,1307420,2,1307587,0,0,0,0,Down,,,,,,,,
527,Ccel_1052,+,1307928,1308725,1,,0,0,0,0,,,,,,,,,
528,"Ccel_1053,Ccel_1054",+,1308975,1312578,2,1308912,0,0,0,0,Down,,,,,,,,
529,Ccel_1055,+,1312646,1313224,1,1312638,0,0,0,0,,,,,,,,,
530,Ccel_1056,-,1313429,1314148,1,,0,0,0,0,,,,,,,,,
531,"Ccel_1057,Ccel_1058",+,1314440,1317034,2,,0,0,0,0,Up,,,,,,,,
532,Ccel_1059,+,1317276,1317842,1,,0,0,0,0,,,,,,,,,
533,Ccel_1060,+,1318042,1318929,1,1317932,0,0,0,0,,,,,,,,,
534,"Ccel_1061,Ccel_1062",+,1319161,1319581,2,,0,0,0,0,Up,,,,,,,,
535,Ccel_1063,-,1319877,1320281,1,,0,0,0,0,,,,,,,,,
536,Ccel_1064,+,1321126,1321818,1,1321082,0,0,0,0,,,,,,,,,
537,Ccel_1065,+,1321913,1322221,1,,0,0,0,0,,,,,,,,,
538,"Ccel_1066,Ccel_1067,Ccel_1068",+,1322299,1324060,3,,0,0,0,0,Down,,,,,,,,
539,"Ccel_1069,Ccel_1070,Ccel_1071",+,1324214,1326971,3,,0,0,0,0,Flat,,,,,,,,
540,Ccel_1072,+,1326968,1327432,1,,0,0,0,0,,,,,,,,,
541,Ccel_1073,-,1327474,1328001,1,,0,0,0,0,,,,,,,,,
542,Ccel_1074,+,1328304,1329032,1,,0,0,0,0,,,,,,,,,
543,Ccel_1075,+,1329221,1330435,1,,0,0,0,0,,,,,,,,,
544,Ccel_1076,+,1330469,1332016,1,,0,0,0,0,,,,,,,,,
545,Ccel_1077,+,1332028,1333110,1,,0,0,0,0,,,,,,,,,
546,Ccel_1078,+,1333123,1334040,1,,0,0,0,0,,,,,,,,,
547,Ccel_1079,+,1334033,1334602,1,,0,0,0,0,,,,,,,,,
548,Ccel_1080,+,1334602,1335555,1,,0,0,0,0,,,,,,,,,
549,Ccel_1081,+,1335563,1336321,1,,0,0,0,0,,,,,,,,,
550,Ccel_1082,+,1336318,1337106,1,,0,0,0,0,,,,,,,,,
551,Ccel_1083,+,1337137,1338282,1,,0,0,0,0,,,,,,,,,
552,Ccel_1084,+,1338447,1339169,1,,0,0,0,0,,,,,,,,,
553,Ccel_1085,-,1339510,1340139,1,1340177,0,0,0,0,,,,,,,,,
554,Ccel_1086,+,1340435,1340560,1,,0,0,0,0,,,,,,,,,
555,"Ccel_1087,Ccel_1088,Ccel_1089,Ccel_1090,Ccel_1091",+,1340592,1344614,5,1340547,0,0,0,0,Complex,,,,,,,,
556,"Ccel_1092,Ccel_1093,Ccel_1094",+,1344870,1346598,3,1344791,1,1,0,0,Down,,,,,,,,
557,"Ccel_1095,Ccel_1096,Ccel_1097",+,1346819,1352826,3,1346796,0,0,0,0,Down,,,,,,,,
558,Ccel_1098,+,1353277,1355241,1,,0,0,0,0,,,,,,,,,
559,Ccel_1099,+,1355760,1357187,1,,0,0,0,0,,,,,,,,,
560,Ccel_1100,+,1357396,1357866,1,1357358,0,0,0,0,,,,,,,,,
561,Ccel_1101,-,1358085,1359950,1,,0,0,0,0,,,,,,,,,
562,Ccel_1102,+,1360523,1361305,1,,0,0,0,0,,,,,,,,,
563,"Ccel_1103,Ccel_1104",+,1361466,1362780,2,,0,0,0,0,Up,,,,,,,,
564,"Ccel_1105,Ccel_1106",+,1363354,1365086,2,,0,0,0,0,Up,,,,,,,,
565,Ccel_1107,+,1365331,1366320,1,1365252,0,0,0,0,,,,,,,,,
566,Ccel_1108,+,1366360,1366554,1,1366314,0,0,0,0,,,,,,,,,
567,Ccel_1109,-,1366659,1367714,1,,0,0,0,0,,,,,,,,,
568,Ccel_1110,+,1368094,1368461,1,,0,0,0,0,,,,,,,,,
569,Ccel_1111,+,1368575,1369855,1,,0,0,0,0,,,,,,,,,
570,"Ccel_1112,Ccel_1113,Ccel_1114,Ccel_1115,Ccel_1116",+,1370121,1375137,5,,0,0,0,0,Complex,,,,,,,,
571,Ccel_1117,+,1375285,1376337,1,,0,0,0,0,,,,,,,,,
572,"Ccel_1118,Ccel_1119",+,1376430,1379869,2,1376392,0,0,0,0,Up,,,,,,,,
