"Locus"	"start.x"	"end"	"strand"	"product_accession"	"Product"	"feature_interval_length"	"product_length"	"GO"	"GO_terms"	"Enzyme.Codes.list"	"Description"	"start.y"
"Ccel_0220"	249891	250937	"-"	"ACL74607.1"	"Integrase catalytic region"	1047	348	2	"F:DNA binding; P:DNA integration"	""	"Integrase catalytic region [[Clostridium] cellulolyticum H10]"	249891
"Ccel_0221"	251067	252752	"-"	"ACL74608.1"	"methyl-accepting chemotaxis sensory transducer"	1686	561	5	"P:protein ADP-ribosylation; P:signal transduction; C:integral component of membrane; F:signal transducer activity; F:NAD+ ADP-ribosyltransferase activity"	"EC:2.4.2.30"	"methyl-accepting chemotaxis"	251067
"Ccel_0222"	253238	253621	"+"	"ACL74609.1"	"transcriptional regulator, GntR family"	384	127	5	"F:DNA binding; C:transcription factor complex; F:transcription factor activity, sequence-specific DNA binding; P:regulation of transcription, DNA-templated; P:regulation of transcription, DNA-templated"	""	"family transcriptional regulator"	253238
"Ccel_0223"	253614	254474	"+"	"ACL74610.1"	"ABC transporter related"	861	286	3	"F:ATPase activity; F:ATP binding; P:metabolic process"	"EC:3.6.1; EC:3.6.1.3; EC:3.6.1.15"	"ABC transporter ATP-binding"	253614
"Ccel_0224"	254467	255120	"+"	"ACL74611.1"	"hypothetical protein"	654	217	1	"C:integral component of membrane"	""	"Uncharacterised ["	254467
"Ccel_0225"	255709	256338	"-"	"ACL74612.1"	"hypothetical protein"	630	209	NA	NA	""	"Spore germination"	255709
"Ccel_0226"	257112	257546	"-"	"ACL74613.1"	"hypothetical protein"	435	144	NA	NA	""	"Uncharacterised [[Clostridium] symbiosum]"	257112
"Ccel_0227"	257627	258307	"-"	"ACL74614.1"	"hypothetical protein"	681	226	1	"C:integral component of membrane"	""	"Outer membrane lipo -sorting"	257627
"Ccel_0228"	258304	258846	"-"	"ACL74615.1"	"RNA polymerase, sigma-24 subunit, ECF subfamily"	543	180	7	"F:DNA binding; F:sigma factor activity; C:transcription factor complex; F:transcription factor activity, sequence-specific DNA binding; P:regulation of transcription, DNA-templated; P:DNA-templated transcription, initiation; P:regulation of transcription, DNA-templated"	""	"RNA polymerase subunit sigma-24"	258304
"Ccel_0229"	259038	259604	"+"	"ACL74616.1"	"hypothetical protein"	567	188	2	"C:membrane; C:integral component of membrane"	""	"Telomeric repeat-binding factor 2"	259038
"Ccel_0230"	259824	260300	"+"	"ACL74617.1"	"NUDIX hydrolase"	477	158	2	"P:metabolic process; F:hydrolase activity"	""	"NUDIX hydrolase"	259824
"Ccel_0231"	260554	262701	"+"	"ACL74618.1"	"glycoside hydrolase family 9"	2148	715	6	"C:integral component of membrane; P:cellulose catabolic process; P:starch metabolic process; F:cellulase activity; F:cellulose binding; P:sucrose metabolic process"	"EC:3.2.1.4"	"glycoside hydrolase family 9 [Ruminiclostridium thermocellum DSM 2360]"	260554
"Ccel_0232"	263027	263401	"-"	"ACL74619.1"	"hypothetical protein"	375	124	2	"P:metabolic process; F:hydrolase activity"	""	"family transcriptional regulator"	263027
"Ccel_0233"	263516	263986	"+"	"ACL74620.1"	"C_GCAxxG_C_C family protein"	471	156	NA	NA	""	"C_GC _C_C family"	263516
"Ccel_0234"	264063	265919	"-"	"ACL74621.1"	"cadmium-translocating P-type ATPase"	1857	618	7	"F:nucleotide binding; F:cadmium-exporting ATPase activity; F:metal ion binding; P:cadmium ion transmembrane transport; P:metabolic process; C:integral component of membrane; C:plasma membrane"	"EC:3.6.1; EC:3.6.1.3; EC:3.6.3.3; EC:3.6.1.15"	"zinc ABC transporter ATPase"	264063
"Ccel_0235"	265953	266171	"-"	"ACL74622.1"	"Heavy metal transport/detoxification protein"	219	72	5	"F:cation-transporting ATPase activity; F:metal ion binding; P:cation transmembrane transport; C:integral component of membrane; P:metal ion transport"	"EC:3.6.1; EC:3.6.1.3; EC:3.6.1.15"	"heavy metal-associated domain"	265953
"Ccel_0236"	266193	266555	"-"	"ACL74623.1"	"transcriptional regulator, ArsR family"	363	120	5	"F:DNA binding; C:transcription factor complex; F:transcription factor activity, sequence-specific DNA binding; P:regulation of transcription, DNA-templated; P:regulation of transcription, DNA-templated"	""	"transcriptional regulator"	266193
"Ccel_0237"	266778	267587	"+"	"ACL74624.1"	"peptidase U57 YabG"	810	269	3	"P:proteolysis; F:peptidase activity; F:hydrolase activity"	""	"Sporulation-specific protease"	266778
"Ccel_0238"	267707	267862	"+"	"ACL74625.1"	"hypothetical protein"	156	51	1	"C:integral component of membrane"	""	"hypothetical protein Ccel_0238 ["	267707
"Ccel_0239"	267873	268883	"+"	"ACL74626.1"	"hypothetical protein"	1011	336	1	"C:integral component of membrane"	""	"hypothetical protein [[Clostridium] cellulolyticum]"	267873
"Ccel_0240"	268920	269513	"+"	"ACL74627.1"	"hypothetical protein"	594	197	NA	NA	""	"hypothetical protein [[Clostridium] cellulolyticum]"	268920
"Ccel_0241"	269533	270435	"+"	"ACL74628.1"	"hypothetical protein"	903	300	1	"C:integral component of membrane"	""	"hypothetical protein [[Clostridium] cellulolyticum]"	269533
"Ccel_0242"	271206	272894	"+"	"ACL74629.1"	"DNA polymerase III, subunits gamma and tau"	1689	562	6	"C:DNA polymerase III complex; F:DNA binding; F:ATP binding; F:DNA-directed DNA polymerase activity; P:DNA replication; P:DNA biosynthetic process"	"EC:2.7.7.7"	"DNA polymerase III subunit gamma tau"	271206
"Ccel_0243"	272957	273304	"+"	"ACL74630.1"	"DNA-binding family"	348	115	3	"F:DNA binding; C:bacterial nucleoid; C:cytoplasm"	""	"DNA-binding family"	272957
"Ccel_0244"	273343	273942	"+"	"ACL74631.1"	"recombination protein RecR"	600	199	4	"F:DNA binding; P:DNA repair; F:metal ion binding; P:DNA recombination"	""	"recombination"	273343
"Ccel_0245"	273951	274076	"+"	"ACL74632.1"	"hypothetical protein"	126	41	NA	NA	""	"hypothetical protein Ccel_0245 ["	273951
"Ccel_0246"	274123	274800	"+"	"ACL74633.1"	"two component transcriptional regulator, winged helix family"	678	225	4	"F:DNA binding; P:phosphorelay signal transduction system; P:regulation of transcription, DNA-templated; C:intracellular"	""	"DNA-binding response regulator"	274123
"Ccel_0247"	274790	276256	"+"	"ACL74634.1"	"histidine kinase"	1467	488	7	"F:phosphorelay sensor kinase activity; F:ATP binding; C:protein histidine kinase complex; P:phosphorelay signal transduction system; C:integral component of membrane; P:signal transduction by protein phosphorylation; C:intracellular"	"EC:2.7.3; EC:2.7.13.3"	"two-component sensor histidine kinase"	274790
"Ccel_0248"	276341	277987	"+"	"ACL74635.1"	"DHHA2 domain protein"	1647	548	4	"F:inorganic diphosphatase activity; P:oxidative phosphorylation; C:cytoplasm; F:metal ion binding"	"EC:3.6.1.1; EC:3.6.1"	"inorganic pyrophosphatase"	276341
"Ccel_0249"	278212	278898	"+"	"ACL74636.1"	"conserved hypothetical protein"	687	228	NA	NA	""	"molecular chaperone"	278212
"Ccel_0250"	278924	279595	"+"	"ACL74637.1"	"DUF4956 domain-containing protein"	672	223	2	"C:integral component of membrane; P:transport"	""	"DUF4956 domain-containing"	278924
"Ccel_0251"	279611	281650	"+"	"ACL74638.1"	"Spore coat protein CotH"	2040	679	2	"C:integral component of membrane; C:viral capsid"	""	"spore coat"	279611
"Ccel_0252"	281804	283108	"+"	"ACL74639.1"	"protein of unknown function DUF21"	1305	434	4	"F:oxidoreductase activity, acting on CH-OH group of donors; F:flavin adenine dinucleotide binding; C:integral component of membrane; P:oxidation-reduction process"	""	"hemolysins-related containing CBS domains"	281804
"Ccel_0253"	283389	283757	"+"	"ACL74640.1"	"conserved hypothetical protein"	369	122	NA	NA	""	"hypothetical protein [[Clostridium] cellulolyticum]"	283389
"Ccel_0254"	283793	284995	"+"	"ACL74641.1"	"conserved hypothetical protein"	1203	400	NA	NA	""	"hypothetical protein [[Clostridium] cellulolyticum]"	283793
"Ccel_0255"	285258	286337	"+"	"ACL74642.1"	"peptide chain release factor 1"	1080	359	5	"P:regulation of translational termination; C:translation release factor complex; C:ribosome; P:'de novo' cotranslational protein folding; F:translation release factor activity, codon specific"	""	"peptide chain release factor 1"	285258
"Ccel_0256"	286434	287177	"+"	"ACL74643.1"	"zinc/iron permease"	744	247	4	"P:transmembrane transport; C:integral component of membrane; F:metal ion transmembrane transporter activity; P:metal ion transport"	""	"divalent heavy-metal cations transporter"	286434
"Ccel_0257"	287206	288285	"+"	"ACL74644.1"	"Sua5/YciO/YrdC/YwlC family protein"	1080	359	5	"F:ATP binding; C:cytoplasm; F:double-stranded RNA binding; P:tRNA processing; F:L-threonylcarbamoyladenylate synthase"	"EC:2.7.7.87"	"tRNA threonylcarbamoyladenosine biosynthesis"	287206
"Ccel_0258"	288287	288793	"+"	"ACL74645.1"	"protein tyrosine phosphatase"	507	168	3	"P:tyrosine metabolic process; F:protein tyrosine phosphatase activity; P:peptidyl-tyrosine dephosphorylation"	"EC:3.1.3.16; EC:3.1; EC:3.1.3.48; EC:3.1.3.41"	"tyrosine phosphatase"	288287
"Ccel_0259"	288872	289321	"+"	"ACL74646.1"	"sugar-phosphate isomerase, RpiB/LacA/LacB family"	450	149	4	"P:carbohydrate metabolic process; P:pentose-phosphate shunt; F:ribose-5-phosphate isomerase activity; P:carbon utilization"	"EC:5.3.1.6"	"ribose 5-phosphate isomerase B"	288872
"Ccel_0260"	289334	289963	"+"	"ACL74647.1"	"uracil phosphoribosyltransferase"	630	209	5	"F:magnesium ion binding; F:GTP binding; F:uracil phosphoribosyltransferase activity; P:uracil salvage; P:UMP salvage"	"EC:2.4.2.9"	"uracil phosphoribosyltransferase"	289334
"Ccel_0261"	290014	290451	"+"	"ACL74648.1"	"CMP/dCMP deaminase zinc-binding"	438	145	4	"F:zinc ion binding; P:pyrimidine nucleobase metabolic process; P:pyrimidine nucleotide metabolic process; F:dCMP deaminase activity"	"EC:3.5.4.12"	"cytidine deaminase"	290014
"Ccel_0262"	290586	292874	"+"	"ACL74649.1"	"UDP-N-acetylglucosamine 2-epimerase"	2289	762	6	"P:lipid metabolic process; P:peptidoglycan biosynthetic process; C:integral component of membrane; P:UDP-N-acetylglucosamine metabolic process; F:UDP-N-acetylglucosamine 2-epimerase activity; F:phospho-N-acetylmuramoyl-pentapeptide-transferase activity"	"EC:2.7.8.13; EC:5.1.3.14"	"UDP-N-acetylglucosamine 2-epimerase"	290586
"Ccel_0263"	292994	293773	"-"	"ACL74650.1"	"OmpA/MotB domain protein"	780	259	2	"C:motile cilium; C:integral component of membrane"	""	"motility B"	292994
"Ccel_0264"	293776	294576	"-"	"ACL74651.1"	"MotA/TolQ/ExbB proton channel"	801	266	4	"C:motile cilium; P:protein transport; C:integral component of membrane; F:protein transporter activity"	""	"flagellar motor"	293776
"Ccel_0265"	294828	295226	"+"	"ACL74652.1"	"hypothetical protein"	399	132	1	"C:integral component of membrane"	""	"hypothetical protein Ccel_0265 ["	294828
"Ccel_0266"	295226	295933	"+"	"ACL74653.1"	"ATP synthase F0, A subunit"	708	235	5	"C:proton-transporting ATP synthase complex, coupling factor F(o); C:integral component of membrane; C:plasma membrane; F:proton-transporting ATP synthase activity, rotational mechanism; P:plasma membrane ATP synthesis coupled proton transport"	"EC:3.6.1; EC:3.6.1.3; EC:3.6.1.15"	"F0F1 ATP synthase subunit A ["	295226
"Ccel_0267"	295946	296176	"+"	"ACL74654.1"	"ATP synthase F0, C subunit"	231	76	4	"F:hydrogen ion transmembrane transporter activity; P:ATP hydrolysis coupled proton transport; C:proton-transporting ATP synthase complex, coupling factor F(o); P:ATP synthesis coupled proton transport"	""	"ATP synthase F0 subunit C [[Clostridium] papyrosolvens]"	295946
"Ccel_0268"	296368	296853	"+"	"ACL74655.1"	"ATP synthase F0, B subunit"	486	161	5	"C:proton-transporting ATP synthase complex, coupling factor F(o); C:integral component of membrane; C:plasma membrane; F:proton-transporting ATP synthase activity, rotational mechanism; P:plasma membrane ATP synthesis coupled proton transport"	"EC:3.6.1; EC:3.6.1.3; EC:3.6.1.15"	"ATP synthase F0 subunit B"	296368
"Ccel_0269"	296853	297380	"+"	"ACL74656.1"	"ATP synthase F1, delta subunit"	528	175	4	"C:proton-transporting ATP synthase complex, catalytic core F(1); C:plasma membrane; F:proton-transporting ATP synthase activity, rotational mechanism; P:plasma membrane ATP synthesis coupled proton transport"	"EC:3.6.1; EC:3.6.1.3; EC:3.6.1.15"	"ATP synthase F0F1 subunit delta"	296853
"Ccel_0270"	297404	298921	"+"	"ACL74657.1"	"ATP synthase F1, alpha subunit"	1518	505	8	"C:proton-transporting ATP synthase complex, catalytic core F(1); F:ATP binding; P:oxidative phosphorylation; P:ATP hydrolysis coupled proton transport; F:proton-transporting ATPase activity, rotational mechanism; C:plasma membrane; F:proton-transporting ATP synthase activity, rotational mechanism; P:plasma membrane ATP synthesis coupled proton transport"	"EC:3.6.1; EC:3.6.1.3; EC:3.6.1.15"	"ATP synthase subunit alpha"	297404
"Ccel_0271"	299020	299904	"+"	"ACL74658.1"	"ATP synthase F1, gamma subunit"	885	294	7	"C:proton-transporting ATP synthase complex, catalytic core F(1); F:ATP binding; P:oxidative phosphorylation; F:proton-transporting ATPase activity, rotational mechanism; C:plasma membrane; F:proton-transporting ATP synthase activity, rotational mechanism; P:plasma membrane ATP synthesis coupled proton transport"	"EC:3.6.1; EC:3.6.1.3; EC:3.6.1.15"	"F0F1 ATP synthase subunit gamma"	299020
"Ccel_0272"	299963	301360	"+"	"ACL74659.1"	"ATP synthase F1, beta subunit"	1398	465	6	"C:proton-transporting ATP synthase complex, catalytic core F(1); F:ATP binding; P:ATP hydrolysis coupled proton transport; C:plasma membrane; F:proton-transporting ATP synthase activity, rotational mechanism; P:plasma membrane ATP synthesis coupled proton transport"	"EC:3.6.1; EC:3.6.1.3; EC:3.6.1.15"	"ATP synthase subunit beta"	299963
"Ccel_0273"	301416	301820	"+"	"ACL74660.1"	"ATP synthase F1, epsilon subunit"	405	134	7	"C:proton-transporting ATP synthase complex, catalytic core F(1); F:ATP binding; P:oxidative phosphorylation; F:proton-transporting ATPase activity, rotational mechanism; C:plasma membrane; F:proton-transporting ATP synthase activity, rotational mechanism; P:plasma membrane ATP synthesis coupled proton transport"	"EC:3.6.1; EC:3.6.1.3; EC:3.6.1.15"	"ATP synthase F1 subunit epsilon"	301416
"Ccel_0274"	301963	304302	"+"	"ACL74661.1"	"S-layer domain protein"	2340	779	1	"F:protein binding"	""	"S-layer ["	301963
"Ccel_0275"	304322	306814	"+"	"ACL74662.1"	"S-layer domain protein"	2493	830	3	"P:carbohydrate metabolic process; F:hydrolase activity, hydrolyzing O-glycosyl compounds; F:hydrolase activity"	""	"glycoside hydrolase family 16"	304322
"Ccel_0276"	307041	311933	"+"	"ACL74663.1"	"fibronectin, type III"	4893	1630	2	"C:membrane; C:integral component of membrane"	""	"type III [[Clostridium] cellulolyticum H10]"	307041
"Ccel_0277"	311987	315943	"+"	"ACL74664.1"	"Fibronectin type III domain protein"	3957	1318	1	"F:protein binding"	""	"ferrous iron transporter A ["	311987
"Ccel_0278"	316018	316866	"+"	"ACL74665.1"	"S-layer domain protein"	849	282	5	"P:metabolic process; C:membrane; C:integral component of membrane; F:transferase activity; F:carbon-nitrogen ligase activity, with glutamine as amido-N-donor"	""	"S-layer [[Clostridium] papyrosolvens]"	316018
"Ccel_0279"	317002	317754	"+"	"ACL74666.1"	"Protein of unknown function DUF1779"	753	250	2	"C:membrane; C:integral component of membrane"	""	"MULTISPECIES: DUF1779 domain-containing"	317002
"Ccel_0280"	317817	319079	"+"	"ACL74667.1"	"UDP-N-acetylglucosamine 1-carboxyvinyltransferase"	1263	420	8	"P:regulation of cell shape; P:cell division; F:UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity; C:cytoplasm; P:peptidoglycan biosynthetic process; P:UDP-N-acetylgalactosamine biosynthetic process; P:cell wall organization; P:cell cycle"	"EC:2.5.1.7"	"UDP-N-acetylglucosamine 1-carboxyvinyltransferase"	317817
"Ccel_0281"	319266	320291	"+"	"ACL74668.1"	"stage II sporulation protein D"	1026	341	2	"C:integral component of membrane; P:sporulation resulting in formation of a cellular spore"	""	"stage II sporulation D"	319266
"Ccel_0282"	320377	321168	"+"	"ACL74669.1"	"Peptidase M23"	792	263	1	"C:integral component of membrane"	""	"metalloendopeptidase-like membrane"	320377
"Ccel_0283"	321360	322490	"+"	"ACL74670.1"	"D-alanine/D-alanine ligase"	1131	376	9	"F:magnesium ion binding; P:regulation of cell shape; F:ATP binding; F:D-alanine-D-alanine ligase activity; C:cytoplasm; P:peptidoglycan biosynthetic process; P:D-alanine metabolic process; F:manganese ion binding; P:cell wall organization"	"EC:6.3.2.4"	"D-alanine--D-alanine ligase A ["	321360
"Ccel_0284"	322562	323029	"+"	"ACL74671.1"	"Domain of unknown function DUF1934"	468	155	NA	NA	""	"DUF1934 domain-containing"	322562
"Ccel_0285"	322992	324686	"+"	"ACL74672.1"	"arginyl-tRNA synthetase"	1695	564	6	"F:ATP binding; P:arginine metabolic process; F:arginine-tRNA ligase activity; C:cytoplasm; P:proline metabolic process; P:arginyl-tRNA aminoacylation"	"EC:6.1.1; EC:6.1.1.19"	"arginine--tRNA ligase"	322992
"Ccel_0286"	324732	325658	"-"	"ACL74673.1"	"polysaccharide deacetylase"	927	308	5	"F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds; P:xylan catabolic process; P:nitrogen compound metabolic process; F:hydrolase activity, hydrolyzing O-glycosyl compounds; F:binding"	""	"glycoside hydrolase [Ruminiclostridium thermocellum]"	324732
"Ccel_0287"	325968	327662	"-"	"ACL74674.1"	"methyl-accepting chemotaxis sensory transducer"	1695	564	4	"P:chemotaxis; P:signal transduction; C:integral component of membrane; F:signal transducer activity"	""	"chemotaxis"	325968
"Ccel_0288"	327909	330629	"+"	"ACL74675.1"	"hypothetical protein"	2721	906	NA	NA	""	"S-layer ["	327909
"Ccel_0289"	330655	332259	"+"	"ACL74676.1"	"S-layer domain protein"	1605	534	2	"C:membrane; C:integral component of membrane"	""	"S-layer ["	330655
"Ccel_0290"	332286	333752	"+"	"ACL74677.1"	"carboxyl-terminal protease"	1467	488	3	"F:protein binding; P:proteolysis; F:serine-type peptidase activity"	""	"peptidase S41"	332286
"Ccel_0291"	333929	335533	"+"	"ACL74678.1"	"CTP synthase"	1605	534	5	"F:ATP binding; P:pyrimidine nucleobase metabolic process; P:'de novo' CTP biosynthetic process; P:glutamine metabolic process; F:CTP synthase activity"	"EC:6.3.4.2"	"CTP synthetase"	333929
"Ccel_0292"	335773	336459	"+"	"ACL74679.1"	"stage II sporulation protein R"	687	228	1	"C:integral component of membrane"	""	"stage II sporulation R"	335773
"Ccel_0293"	336602	337297	"+"	"ACL74680.1"	"MgtC/SapB transporter"	696	231	1	"C:integral component of membrane"	""	"methyltransferase"	336602
"Ccel_0294"	337422	340148	"+"	"ACL74681.1"	"ATPase, P-type (transporting), HAD superfamily, subfamily IC"	2727	908	7	"F:ATP binding; F:metal ion binding; C:sarcoplasmic reticulum; P:metabolic process; C:integral component of membrane; P:calcium ion transmembrane transport; F:calcium-transporting ATPase activity"	"EC:3.6.1; EC:3.6.1.3; EC:3.6.3.8; EC:3.6.1.15"	"ATPase ["	337422
"Ccel_0295"	340452	341399	"+"	"ACL74682.1"	"ABC transporter related"	948	315	4	"F:ATP binding; P:metabolic process; P:sulfate transmembrane transport; F:sulfate transmembrane-transporting ATPase activity"	"EC:3.6.1; EC:3.6.1.3; EC:3.6.3.25; EC:3.6.1.15"	"ABC transporter"	340452
"Ccel_0296"	341402	342106	"+"	"ACL74683.1"	"ABC-2 type transporter"	705	234	2	"C:integral component of membrane; P:transport"	""	"ABC transporter permease"	341402
"Ccel_0297"	342103	343530	"+"	"ACL74684.1"	"ABC transporter"	1428	475	1	"C:integral component of membrane"	""	"ABC transporter"	342103
"Ccel_0298"	343534	344952	"+"	"ACL74685.1"	"conserved hypothetical protein"	1419	472	1	"C:integral component of membrane"	""	"hypothetical protein [[Clostridium] cellulolyticum]"	343534
"Ccel_0299"	345019	346089	"+"	"ACL74686.1"	"conserved hypothetical protein"	1071	356	1	"C:integral component of membrane"	""	"membrane ["	345019
"Ccel_0300"	346181	347377	"+"	"ACL74687.1"	"hypothetical protein"	1197	398	1	"C:integral component of membrane"	""	"hypothetical protein [[Clostridium] cellulolyticum]"	346181
"Ccel_0301"	347399	348097	"+"	"ACL74688.1"	"colicin V production"	699	232	2	"C:integral component of membrane; P:toxin biosynthetic process"	""	"colicin V production ["	347399
"Ccel_0302"	348359	350017	"+"	"ACL74689.1"	"dihydroxy-acid dehydratase"	1659	552	7	"P:isoleucine biosynthetic process; P:pantothenate biosynthetic process; F:dihydroxy-acid dehydratase activity; F:metal ion binding; P:valine biosynthetic process; P:leucine biosynthetic process; F:4 iron, 4 sulfur cluster binding"	"EC:4.2.1.9"	"dihydroxy-acid dehydratase"	348359
"Ccel_0303"	350068	351747	"+"	"ACL74690.1"	"acetolactate synthase, large subunit, biosynthetic type"	1680	559	9	"F:magnesium ion binding; F:acetolactate synthase activity; F:thiamine pyrophosphate binding; P:isoleucine biosynthetic process; P:pantothenate biosynthetic process; F:flavin adenine dinucleotide binding; P:valine biosynthetic process; C:acetolactate synthase complex; P:leucine biosynthetic process"	"EC:2.2.1.6"	"acetolactate large biosynthetic type"	350068
"Ccel_0304"	351792	353420	"-"	"ACL74691.1"	"DEAD/DEAH box helicase domain protein"	1629	542	4	"F:nucleic acid binding; F:ATP binding; P:metabolic process; F:helicase activity"	"EC:3.6.1; EC:3.6.1.15"	"RNA helicase"	351792
"Ccel_0305"	353647	353796	"+"	"ACL74692.1"	"ribosomal protein L33"	150	49	4	"F:structural constituent of ribosome; P:ribosome biogenesis; C:ribosome; P:translation"	""	"50S ribosomal L33"	353647
"Ccel_0306"	353898	354128	"+"	"ACL74693.1"	"preprotein translocase, SecE subunit"	231	76	6	"P:protein transmembrane transport; P:protein targeting; F:P-P-bond-hydrolysis-driven protein transmembrane transporter activity; C:integral component of membrane; C:chloroplast envelope; P:protein secretion"	""	"pre translocase subunit"	353898
"Ccel_0307"	354189	354707	"+"	"ACL74694.1"	"NusG antitermination factor"	519	172	2	"P:regulation of DNA-templated transcription, elongation; P:transcription antitermination"	""	"MULTISPECIES: transcription termination antitermination"	354189
"Ccel_0308"	354795	355220	"+"	"ACL74695.1"	"ribosomal protein L11"	426	141	5	"F:structural constituent of ribosome; P:ribosome biogenesis; C:ribosome; F:large ribosomal subunit rRNA binding; P:translation"	""	"50S ribosomal L11"	354795
"Ccel_0309"	355334	356026	"+"	"ACL74696.1"	"ribosomal protein L1"	693	230	6	"P:regulation of translation; F:structural constituent of ribosome; P:ribosome biogenesis; C:large ribosomal subunit; F:tRNA binding; F:rRNA binding"	""	"50S ribosomal L1"	355334
"Ccel_0310"	356276	356806	"+"	"ACL74697.1"	"ribosomal protein L10"	531	176	5	"F:structural constituent of ribosome; P:ribosome biogenesis; C:ribosome; F:large ribosomal subunit rRNA binding; P:translation"	""	"50S ribosomal L10"	356276
"Ccel_0311"	356873	357256	"+"	"ACL74698.1"	"ribosomal protein L7/L12"	384	127	4	"F:structural constituent of ribosome; P:ribosome biogenesis; C:ribosome; P:translation"	""	"50S ribosomal L7 L12"	356873
"Ccel_0312"	357744	361484	"+"	"ACL74699.1"	"DNA-directed RNA polymerase, beta subunit"	3741	1246	7	"F:DNA binding; P:pyrimidine nucleobase metabolic process; F:DNA-directed RNA polymerase activity; F:ribonucleoside binding; P:transcription, DNA-templated; P:purine nucleobase metabolic process; C:nucleolus"	"EC:2.7.7.6"	"DNA-directed RNA polymerase subunit beta"	357744
"Ccel_0313"	361501	365010	"+"	"ACL74700.1"	"DNA-directed RNA polymerase, beta' subunit"	3510	1169	6	"F:DNA binding; P:pyrimidine nucleobase metabolic process; F:DNA-directed RNA polymerase activity; P:transcription, DNA-templated; P:purine nucleobase metabolic process; C:nucleolus"	"EC:2.7.7.6"	"DNA-directed RNA polymerase subunit beta"	361501
"Ccel_0314"	365219	365461	"+"	"ACL74701.1"	"ribosomal protein L7Ae/L30e/S12e/Gadd45"	243	80	4	"F:structural constituent of ribosome; P:ribosome biogenesis; C:ribosome; P:translation"	""	"50S ribosomal L7ae"	365219
"Ccel_0315"	365540	365968	"+"	"ACL74702.1"	"ribosomal protein S12"	429	142	6	"F:structural constituent of ribosome; P:ribosome biogenesis; C:small ribosomal subunit; F:tRNA binding; F:rRNA binding; P:translation"	""	"30S ribosomal S12"	365540
"Ccel_0316"	366193	366663	"+"	"ACL74703.1"	"ribosomal protein S7"	471	156	6	"F:structural constituent of ribosome; P:ribosome biogenesis; C:small ribosomal subunit; F:tRNA binding; F:rRNA binding; P:translation"	""	"30S ribosomal S7"	366193
"Ccel_0317"	366719	368800	"+"	"ACL74704.1"	"translation elongation factor G"	2082	693	5	"F:GTP binding; P:regulation of translational elongation; F:translation elongation factor activity; F:GTPase activity; C:ribosome"	"EC:3.6.1; EC:3.6.1.15"	"elongation factor G"	366719
"Ccel_0318"	368924	370126	"+"	"ACL74705.1"	"translation elongation factor Tu"	1203	400	5	"F:GTP binding; P:regulation of translational elongation; F:translation elongation factor activity; F:GTPase activity; C:ribosome"	"EC:3.6.1; EC:3.6.1.15"	"elongation factor Tu"	368924
"Ccel_0319"	370295	371209	"+"	"ACL74706.1"	"conserved hypothetical protein"	915	304	NA	NA	""	"hypothetical protein [[Clostridium] cellulolyticum]"	370295
"Ccel_0320"	371303	371848	"+"	"ACL74707.1"	"YdaE"	546	181	3	"F:D-lyxose ketol-isomerase activity; P:metabolic process; P:carbohydrate transport"	"EC:5.3.1.15"	"D-lyxose D-mannose family sugar isomerase"	371303
"Ccel_0321"	372068	373258	"+"	"ACL74708.1"	"beta-lactamase domain protein"	1191	396	6	"P:obsolete electron transport; F:FMN binding; F:oxidoreductase activity; F:metal ion binding; F:electron carrier activity; P:oxidation-reduction process"	""	"MBL fold hydrolase"	372068
"Ccel_0322"	373484	374176	"+"	"ACL74709.1"	"NifU-like domain-containing protein"	693	230	3	"F:iron ion binding; F:iron-sulfur cluster binding; P:iron-sulfur cluster assembly"	""	"nitrogen fixation ["	373484
"Ccel_0323"	374198	375196	"+"	"ACL74710.1"	"conserved hypothetical protein"	999	332	NA	NA	""	"GG [Ruminiclostridium thermocellum AD2]"	374198
"Ccel_0324"	375532	375990	"+"	"ACL74711.1"	"transcriptional repressor, CtsR"	459	152	3	"F:DNA binding; P:regulation of transcription, DNA-templated; P:response to stress"	""	"transcriptional repressor"	375532
"Ccel_0325"	376033	376521	"+"	"ACL74712.1"	"UvrB/UvrC protein"	489	162	1	"F:protein binding"	""	"[Ruminiclostridium thermocellum DSM 2360]"	376033
"Ccel_0326"	376518	377540	"+"	"ACL74713.1"	"ATP:guanido phosphotransferase"	1023	340	4	"F:ATP binding; F:protein kinase activity; P:protein phosphorylation; F:phosphotransferase activity, nitrogenous group as acceptor"	""	"ATP--guanido phosphotransferase"	376518
"Ccel_0327"	377562	379994	"+"	"ACL74714.1"	"ATPase AAA-2 domain protein"	2433	810	4	"F:ATP binding; F:protein binding; P:proteolysis; F:peptidase activity"	""	"ATP-dependent Clp protease ATP-binding subunit"	377562
"Ccel_0328"	380199	381605	"+"	"ACL74715.1"	"Radical SAM domain protein"	1407	468	4	"F:catalytic activity; F:metal ion binding; P:metabolic process; F:4 iron, 4 sulfur cluster binding"	""	"Cys-rich peptide radical SAM maturase"	380199
"Ccel_0329"	381598	382680	"+"	"ACL74716.1"	"conserved hypothetical protein"	1083	360	NA	NA	""	"peptide maturation system TIGR04066 family"	381598
"Ccel_0330"	382694	382969	"+"	"ACL74717.1"	"hypothetical protein"	276	91	NA	NA	""	"hypothetical protein [[Clostridium] cellulolyticum]"	382694
