start	end	strand	product_accession	Product	Locus	feature_interval_length	product_length
3310199	3310450	-	ACL77053.1	conserved hypothetical protein	Ccel_2747	252	83
3310496	3310858	-	ACL77054.1	conserved hypothetical protein	Ccel_2748	363	120
3315230	3316258	-	ACL77057.1	virulence associated protein	Ccel_2752	1029	342
3316322	3318154	-	ACL77058.1	type VI secretion protein	Ccel_2753	1833	610
3318933	3319193	-	ACL77059.1	conserved hypothetical protein	Ccel_2755	261	86
3321695	3322282	-	ACL77062.1	conserved hypothetical protein	Ccel_2760	588	195
3326044	3326904	-	ACL77064.1	conserved hypothetical protein	Ccel_2764	861	286
3329788	3330066	-	ACL77066.1	conserved hypothetical protein	Ccel_2768	279	92
3330151	3331875	-	ACL77067.1	conserved hypothetical protein	Ccel_2769	1725	574
3331947	3332498	-	ACL77068.1	conserved hypothetical protein	Ccel_2770	552	183
3332597	3333142	-	ACL77069.1	conserved hypothetical protein	Ccel_2771	546	181
3333139	3333465	-	ACL77070.1	conserved hypothetical protein	Ccel_2772	327	108
3333664	3334536	-	ACL77072.1	secretion F protein	Ccel_2774	873	290
3334542	3335471	-	ACL77073.1	membrane protein	Ccel_2775	930	309
3336976	3337791	-	ACL77075.1	ATPase AAA	Ccel_2777	816	271
3339845	3340399	-	ACL77080.1	conserved hypothetical protein	Ccel_2782	555	184
3344002	3344586	-	ACL77082.1	conserved hypothetical protein	Ccel_2784	585	194
3344869	3345288	-	ACL77084.1	conserved hypothetical protein	Ccel_2786	420	139
3346344	3346541	-	ACL77086.1	conserved hypothetical protein	Ccel_2788	198	65
3370096	3370608	-	ACL77107.1	conserved hypothetical protein	Ccel_2813	513	170
3374383	3374619	-	ACL77111.1	conserved hypothetical protein	Ccel_2817	237	78
3376013	3378481	-	ACL77114.1	glycosyl hydrolase	Ccel_2820	2469	822
3378478	3379047	-	ACL77115.1	conserved hypothetical protein	Ccel_2821	570	189
3379057	3379260	-	ACL77116.1	conserved hypothetical protein	Ccel_2822	204	67
3382584	3385040	-	ACL77119.1	phage tail protein	Ccel_2825	2457	818
3385059	3385238	-	ACL77120.1	conserved hypothetical protein	Ccel_2826	180	59
3386238	3386582	-	ACL77123.1	conserved hypothetical protein	Ccel_2829	345	114
3387687	3387899	-	ACL77127.1	conserved hypothetical protein	Ccel_2833	213	70
3392797	3392985	-	ACL77132.1	conserved hypothetical protein	Ccel_2838	189	62
3393009	3393236	-	ACL77133.1	methyltransferase	Ccel_2839	228	75
3393233	3393925	-	ACL77134.1	conserved hypothetical protein	Ccel_2840	693	230
3398609	3399160	-	ACL77138.1	conserved hypothetical protein	Ccel_2844	552	183
3400197	3400418	-	ACL77141.1	conserved hypothetical protein	Ccel_2847	222	73
3404621	3405055	-	ACL77145.1	conserved hypothetical protein	Ccel_2851	435	144
3406193	3406411	-	ACL77147.1	membrane protein	Ccel_2853	219	72
3406437	3407150	-	ACL77148.1	membrane protein	Ccel_2854	714	237
3410668	3411216	-	ACL77152.1	conserved hypothetical protein	Ccel_2858	549	182
3411221	3412357	-	ACL77153.1	conserved hypothetical protein	Ccel_2859	1137	378
3412648	3412866	-	ACL77155.1	conserved hypothetical protein	Ccel_2861	219	72
3413677	3413823	-	ACL77157.1	conserved hypothetical protein	Ccel_2863	147	48
3413919	3415787	-	ACL77158.1	transcriptional regulator	Ccel_2864	1869	622
3420733	3420939	-	ACL77163.1	rubrerythrin	Ccel_2869	207	68
3422196	3422645	+	ACL77166.1	conserved hypothetical protein	Ccel_2872	450	149
3453133	3453570	-	ACL77189.1	conserved hypothetical protein	Ccel_2895	438	145
3453738	3454211	-	ACL77190.1	conserved hypothetical protein	Ccel_2896	474	157
3454658	3455083	-	ACL77192.1	conserved hypothetical protein	Ccel_2898	426	141
3455162	3455533	-	ACL77193.1	conserved hypothetical protein	Ccel_2899	372	123
3478026	3478370	+	ACL77213.1	conserved hypothetical protein	Ccel_2919	345	114
3482354	3482884	-	ACL77217.1	conserved hypothetical protein	Ccel_2923	531	176
3486525	3487151	-	ACL77222.1	conserved hypothetical protein	Ccel_2928	627	208
3490043	3490537	+	ACL77225.1	conserved hypothetical protein	Ccel_2931	495	164
3494665	3496128	-	ACL77230.1	glycosyltransferase PMT family protein	Ccel_2936	1464	487
3507509	3507967	-	ACL77246.1	conserved hypothetical protein	Ccel_2952	459	152
3507977	3508396	-	ACL77247.1	conserved hypothetical protein	Ccel_2953	420	139
3519517	3520089	-	ACL77258.1	metal dependent phosphohydrolase	Ccel_2964	573	190
3531425	3531718	-	ACL77272.1	conserved hypothetical protein	Ccel_2978	294	97
3531741	3532283	-	ACL77273.1	ATP/GTP binding protein	Ccel_2979	543	180
3534121	3534924	-	ACL77277.1	membrane protein	Ccel_2983	804	267
3535807	3536175	-	ACL77279.1	conserved hypothetical protein	Ccel_2985	369	122
3541120	3541851	-	ACL77282.1	conserved hypothetical protein	Ccel_2988	732	243
3588302	3588754	-	ACL77330.1	conserved hypothetical protein	Ccel_3038	453	150
3588754	3589152	-	ACL77331.1	conserved hypothetical protein	Ccel_3039	399	132
3589149	3589532	-	ACL77332.1	conserved hypothetical protein	Ccel_3040	384	127
3589532	3589849	-	ACL77333.1	conserved hypothetical protein	Ccel_3041	318	105
3589852	3590214	-	ACL77334.1	conserved hypothetical protein	Ccel_3042	363	120
3590227	3590502	-	ACL77335.1	conserved hypothetical protein	Ccel_3043	276	91
3598547	3598981	-	ACL77345.1	conserved hypothetical protein	Ccel_3053	435	144
3609012	3609578	-	ACL77357.1	conserved hypothetical protein	Ccel_3065	567	188
3609595	3610830	-	ACL77358.1	conserved hypothetical protein	Ccel_3066	1236	411
3610832	3611233	-	ACL77359.1	conserved hypothetical protein	Ccel_3067	402	133
3618746	3619285	-	ACL77374.1	spore cortex biosynthesis protein	Ccel_3082	540	179
3635613	3636002	-	ACL77391.1	rod binding protein	Ccel_3099	390	129
3641703	3641948	-	ACL77397.1	conserved hypothetical protein	Ccel_3105	246	81
3663030	3664862	-	ACL77418.1	conserved hypothetical protein	Ccel_3127	1833	610
3664865	3665608	-	ACL77419.1	conserved hypothetical protein	Ccel_3128	744	247
3681141	3681485	-	ACL77434.1	conserved hypothetical protein	Ccel_3143	345	114
3699965	3700366	-	ACL77456.1	conserved hypothetical protein	Ccel_3165	402	133
3724558	3725283	-	ACL77484.1	membrane protein	Ccel_3194	726	241
3733882	3734643	+	ACL77490.1	conserved hypothetical protein	Ccel_3200	762	253
3744789	3745805	-	ACL77498.1	nucleoid associated protein	Ccel_3208	1017	338
3766351	3767313	+	ACL77518.1	alpha beta hydrolase	Ccel_3228	963	320
3805532	3806467	-	ACL77540.1	conserved hypothetical protein	Ccel_3251	936	311
3812150	3813217	-	ACL77547.1	conserved hypothetical protein	Ccel_3258	1068	355
3836737	3837216	-	ACL77574.1	conserved hypothetical protein	Ccel_3285	480	159
3837209	3837619	-	ACL77575.1	conserved hypothetical protein	Ccel_3286	411	136
3837616	3837999	-	ACL77576.1	conserved hypothetical protein	Ccel_3287	384	127
3837999	3838316	-	ACL77577.1	conserved hypothetical protein	Ccel_3288	318	105
3838319	3838681	-	ACL77578.1	conserved hypothetical protein	Ccel_3289	363	120
3838694	3838927	-	ACL77579.1	conserved hypothetical protein	Ccel_3290	234	77
3869191	3870069	-	ACL77615.1	conserved hypothetical protein	Ccel_3326	879	292
3873494	3874270	+	ACL77619.1	conserved hypothetical protein	Ccel_3330	777	258
3884127	3884951	-	ACL77628.1	conserved hypothetical protein	Ccel_3339	825	274
3886378	3887133	-	ACL77630.1	conserved hypothetical protein	Ccel_3341	756	251
3889238	3889504	+	ACL77634.1	conserved hypothetical protein	Ccel_3345	267	88
3899318	3899833	-	ACL77648.1	conserved hypothetical protein	Ccel_3359	516	171
3917498	3918568	-	ACL77668.1	conserved hypothetical protein	Ccel_3380	1071	356
3960144	3960695	+	ACL77696.1	membrane protein	Ccel_3408	552	183
3960858	3961226	+	ACL77697.1	conserved hypothetical protein	Ccel_3409	369	122
3995380	3995637	-	ACL77720.1	conserved hypothetical protein	Ccel_3432	258	85
4018096	4018437	+	ACL77741.1	membrane protein	Ccel_3453	342	113
4044229	4044474	+	ACL77763.1	conserved hypothetical protein	Ccel_3475	246	81
1078909	1079925	-	ACL75273.1	copper amine oxidase domain protein	Ccel_0901	1017	338
1384490	1385368	+	ACL75484.1	copper amine oxidase domain protein	Ccel_1126	879	292
1408927	1410042	+	ACL75503.1	copper amine oxidase domain protein	Ccel_1146	1116	371
2065134	2067038	-	ACL76069.1	copper amine oxidase domain protein	Ccel_1718	1905	634
2285772	2287715	-	ACL76285.1	copper amine oxidase domain protein	Ccel_1937	1944	647
2294339	2295781	-	ACL76290.1	copper amine oxidase domain protein	Ccel_1942	1443	480
2743629	2745011	-	ACL76670.1	copper amine oxidase domain protein	Ccel_2334	1383	460
2745034	2747838	-	ACL76671.1	copper amine oxidase domain protein	Ccel_2335	2805	934
2062931	2063164	-	ACL76066.1	copper ion binding protein	Ccel_1715	234	77
869844	872291	+	ACL75124.1	copper-translocating P-type ATPase	Ccel_0746	2448	815
2226813	2227205	-	ACL76221.1	CrcB protein	Ccel_1873	393	130
1799141	1800172	+	ACL75835.1	CRISPR-associated protein Cas1	Ccel_1482	1032	343
3653330	3654226	-	ACL77410.1	CRISPR-associated protein Cas1	Ccel_3119	897	298
1800182	1800472	+	ACL75836.1	CRISPR-associated protein Cas2	Ccel_1483	291	96
3652990	3653337	-	ACL77409.1	CRISPR-associated protein Cas2	Ccel_3118	348	115
1798476	1799144	+	ACL75834.1	CRISPR-associated protein Cas4	Ccel_1481	669	222
1793850	1794506	+	ACL75831.1	CRISPR-associated protein Cas5 family	Ccel_1477	657	218
1797595	1798479	+	ACL75833.1	"CRISPR-associated protein, Csd2 family"	Ccel_1480	885	294
3654189	3657254	-	ACL77411.1	"CRISPR-associated protein, Csn1 family"	Ccel_3120	3066	1021
1644969	1645469	+	ACL75700.1	crossover junction endodeoxyribonuclease RuvC	Ccel_1346	501	166
333929	335533	+	ACL74678.1	CTP synthase	Ccel_0291	1605	534
1327474	1328001	-	ACL75432.1	Cupin 2 conserved barrel domain protein	Ccel_1073	528	175
1959292	1959630	-	ACL75975.1	Cupin 2 conserved barrel domain protein	Ccel_1623	339	112
146462	149143	+	ACL74520.1	cyanophycin synthetase	Ccel_0132	2682	893
145600	146424	+	ACL74519.1	cyanophycinase	Ccel_0131	825	274
2223261	2223908	-	ACL76216.1	cyclase family protein	Ccel_1868	648	215
1727187	1727855	-	ACL75777.1	cyclic nucleotide-binding protein	Ccel_1423	669	222
2741445	2743397	-	ACL76669.1	cyclic peptide transporter	Ccel_2333	1953	650
2864437	2867535	-	ACL76722.1	cyclic peptide transporter	Ccel_2389	3099	1032
2228426	2229571	-	ACL76224.1	cysteine desulfurase family protein	Ccel_1876	1146	381
2282022	2283203	-	ACL76280.1	cysteine desulfurase NifS	Ccel_1932	1182	393
3717532	3718464	+	ACL77476.1	cysteine synthase A	Ccel_3186	933	310
3866867	3868252	-	ACL77613.1	cysteinyl-tRNA synthetase	Ccel_3324	1386	461
670090	670479	+	ACL74959.1	cytidine deaminase	Ccel_0578	390	129
2078400	2079071	-	ACL76080.1	cytidylate kinase	Ccel_1729	672	223
414453	415190	+	ACL74747.1	cytochrome b5	Ccel_0362	738	245
1324214	1324663	+	ACL75428.1	cytochrome b5	Ccel_1069	450	149
2003846	2004559	+	ACL76011.1	cytochrome c biogenesis protein transmembrane region	Ccel_1660	714	237
1266173	1267732	+	ACL75379.1	Cytochrome c biogenesis protein-like protein	Ccel_1017	1560	519
3345417	3346334	-	ACL77085.1	D12 class N6 adenine-specific DNA methyltransferase	Ccel_2787	918	305
1452694	1454301	+	ACL75546.1	D-3-phosphoglycerate dehydrogenase	Ccel_1189	1608	535
1976388	1977389	-	ACL75990.1	Dak kinase	Ccel_1639	1002	333
321360	322490	+	ACL74670.1	D-alanine/D-alanine ligase	Ccel_0283	1131	376
138387	139700	+	ACL74512.1	DEAD/DEAH box helicase domain protein	Ccel_0124	1314	437
351792	353420	-	ACL74691.1	DEAD/DEAH box helicase domain protein	Ccel_0304	1629	542
1149074	1151299	+	ACL75326.1	DEAD/DEAH box helicase domain protein	Ccel_0964	2226	741
3008046	3009743	+	ACL76816.1	DEAD/DEAH box helicase domain protein	Ccel_2488	1698	565
762748	765120	+	ACL75040.1	DEAD_2 domain protein	Ccel_0660	2373	790
4014987	4015952	-	ACL77738.1	dehydrogenase E1 component	Ccel_3450	966	321
1583304	1584281	+	ACL75635.1	delta-aminolevulinic acid dehydratase	Ccel_1279	978	325
2158134	2159279	-	ACL76154.1	deoxyguanosinetriphosphate triphosphohydrolase	Ccel_1804	1146	381
1280425	1281096	+	ACL75390.1	deoxyribose-phosphate aldolase	Ccel_1028	672	223
2796959	2797762	-	ACL76706.1	deoxyribose-phosphate aldolase/phospho-2-dehydro-3-deoxyheptonate aldolase	Ccel_2373	804	267
200770	201273	+	ACL74565.1	deoxyuridine 5'-triphosphate nucleotidohydrolase Dut	Ccel_0177	504	167
2256319	2258190	-	ACL76248.1	deoxyxylulose-5-phosphate synthase	Ccel_1900	1872	623
2431817	2432428	-	ACL76419.1	dephospho-CoA kinase	Ccel_2074	612	203
4043542	4043922	+	ACL77762.1	desulfoferrodoxin	Ccel_3474	381	126
276341	277987	+	ACL74635.1	DHHA2 domain protein	Ccel_0248	1647	548
669696	670070	+	ACL74958.1	diacylglycerol kinase	Ccel_0577	375	124
55000	55911	+	ACL74438.1	diacylglycerol kinase catalytic region	Ccel_0050	912	303
4044540	4045442	-	ACL77764.1	diacylglycerol kinase catalytic region	Ccel_3476	903	300
3059527	3060777	-	ACL76862.1	diaminopimelate decarboxylase	Ccel_2534	1251	416
3058505	3059494	-	ACL76861.1	diaminopimelate dehydrogenase	Ccel_2533	990	329
2700892	2701983	-	ACL76654.1	diguanylate cyclase	Ccel_2318	1092	363
3027052	3028884	-	ACL76833.1	diguanylate cyclase and metal dependent phosphohydrolase	Ccel_2505	1833	610
2237446	2239122	-	ACL76233.1	diguanylate cyclase with GAF sensor	Ccel_1885	1677	558
723716	726286	+	ACL75007.1	diguanylate cyclase/phosphodiesterase	Ccel_0626	2571	856
598014	598868	+	ACL74901.1	dihydrodipicolinate reductase	Ccel_0519	855	284
611421	612185	-	ACL74907.1	dihydrodipicolinate reductase	Ccel_0525	765	254
612214	613095	-	ACL74908.1	dihydrodipicolinate synthase	Ccel_0526	882	293
1947965	1948843	-	ACL75963.1	dihydrodipicolinate synthase	Ccel_1611	879	292
1570141	1571034	+	ACL75621.1	dihydrodipicolinate synthetase	Ccel_1265	894	297
1615000	1615485	+	ACL75664.1	dihydrofolate reductase region	Ccel_1310	486	161
1631191	1631565	+	ACL75685.1	dihydroneopterin aldolase	Ccel_1331	375	124
707813	709099	+	ACL74994.1	"dihydroorotase, multifunctional complex type"	Ccel_0613	1287	428
715272	716195	+	ACL74999.1	dihydroorotate dehydrogenase family protein	Ccel_0618	924	307
1630366	1631190	+	ACL75684.1	dihydropteroate synthase	Ccel_1330	825	274
2992431	2993216	-	ACL76801.1	dihydropteroate synthase DHPS	Ccel_2473	786	261
1311643	1312578	+	ACL75414.1	dihydrouridine synthase DuS	Ccel_1054	936	311
1975716	1976354	-	ACL75989.1	"dihydroxyacetone kinase, L subunit"	Ccel_1638	639	212
1568392	1570119	+	ACL75620.1	dihydroxy-acid and 6-phosphogluconate dehydratase	Ccel_1264	1728	575
348359	350017	+	ACL74689.1	dihydroxy-acid dehydratase	Ccel_0302	1659	552
193822	194694	+	ACL74559.1	dimethyladenosine transferase	Ccel_0171	873	290
726833	728092	+	ACL75009.1	Dinitrogenase iron-molybdenum cofactor biosynthesis protein	Ccel_0628	1260	419
2049595	2050470	-	ACL76056.1	dipicolinate synthase subunit A	Ccel_1705	876	291
2049005	2049592	-	ACL76055.1	"dipicolinic acid synthetase, B subunit"	Ccel_1704	588	195
3986585	3987544	-	ACL77713.1	D-isomer specific 2-hydroxyacid dehydrogenase NAD-binding	Ccel_3425	960	319
690956	691420	+	ACL74981.1	DivIVA family protein	Ccel_0600	465	154
4007630	4008094	-	ACL77731.1	DivIVA family protein	Ccel_3443	465	154
951817	952572	+	ACL75211.1	DNA adenine methylase	Ccel_0834	756	251
2181290	2182054	-	ACL76175.1	"DNA binding domain protein, excisionase family"	Ccel_1826	765	254
1697815	1699797	+	ACL75752.1	DNA gyrase subunit B domain protein	Ccel_1398	1983	660
4058002	4060524	-	ACL77769.1	"DNA gyrase, A subunit"	Ccel_3482	2523	840
4442	6370	+	ACL74394.1	"DNA gyrase, B subunit"	Ccel_0006	1929	642
1699847	1702033	+	ACL75753.1	DNA gyrase/topoisomerase IV subunit A	Ccel_1399	2187	728
2314159	2316519	-	ACL76303.1	DNA internalization-related competence protein ComEC/Rec2	Ccel_1955	2361	786
2338384	2340357	-	ACL76324.1	"DNA ligase, NAD-dependent"	Ccel_1976	1974	657
3396191	3397432	-	ACL77136.1	DNA methylase N-4/N-6 domain protein	Ccel_2842	1242	413
3603909	3604886	-	ACL77351.1	DNA methylase N-4/N-6 domain protein	Ccel_3059	978	325
3686398	3687477	-	ACL77443.1	DNA methylase N-4/N-6 domain protein	Ccel_3152	1080	359
2040083	2042080	-	ACL76047.1	DNA mismatch repair protein MutL	Ccel_1696	1998	665
2042106	2044727	-	ACL76048.1	DNA mismatch repair protein MutS	Ccel_1697	2622	873
637082	638749	+	ACL74934.1	DNA mismatch repair protein MutS domain protein	Ccel_0552	1668	555
1739138	1741084	-	ACL75787.1	DNA mismatch repair protein MutS domain protein	Ccel_1433	1947	648
2987222	2989102	-	ACL76797.1	DNA mismatch repair protein MutS domain protein	Ccel_2469	1881	626
3365305	3366123	-	ACL77102.1	DNA polymerase beta domain protein region	Ccel_2808	819	272
3368178	3369047	-	ACL77105.1	DNA polymerase beta domain protein region	Ccel_2811	870	289
2432415	2435105	-	ACL76420.1	DNA polymerase I	Ccel_2075	2691	896
516268	520569	+	ACL74834.1	"DNA polymerase III, alpha subunit"	Ccel_0452	4302	1433
1772420	1775899	+	ACL75813.1	"DNA polymerase III, alpha subunit"	Ccel_1459	3480	1159
1598	2698	+	ACL74390.1	"DNA polymerase III, beta subunit"	Ccel_0002	1101	366
183856	184824	+	ACL74547.1	"DNA polymerase III, delta prime subunit"	Ccel_0159	969	322
2313094	2314113	-	ACL76302.1	"DNA polymerase III, delta subunit"	Ccel_1954	1020	339
271206	272894	+	ACL74629.1	"DNA polymerase III, subunits gamma and tau"	Ccel_0242	1689	562
417557	418471	+	ACL74751.1	"DNA polymerase LigD, polymerase domain protein"	Ccel_0366	915	304
625885	627699	+	ACL74922.1	DNA primase	Ccel_0540	1815	604
2415617	2416741	-	ACL76403.1	DNA protecting protein DprA	Ccel_2057	1125	374
736449	737462	-	ACL75020.1	DNA repair photolyase-like protein	Ccel_0639	1014	337
3086133	3086822	-	ACL76892.1	DNA repair protein RadC	Ccel_2564	690	229
2252369	2254072	-	ACL76244.1	DNA repair protein RecN	Ccel_1896	1704	567
671639	672391	+	ACL74962.1	DNA repair protein RecO	Ccel_0581	753	250
2955	4073	+	ACL74392.1	DNA replication and repair protein RecF	Ccel_0004	1119	372
2413347	2415467	-	ACL76402.1	DNA topoisomerase I	Ccel_2056	2121	706
1098275	1100443	+	ACL75289.1	DNA topoisomerase III	Ccel_0922	2169	722
3718640	3719434	+	ACL77477.1	DNA/pantothenate metabolism flavoprotein domain protein	Ccel_3187	795	264
3074307	3075323	+	ACL76877.1	DNA-cytosine methyltransferase	Ccel_2549	1017	338
3385250	3385633	-	ACL77121.1	DNA-cytosine methyltransferase	Ccel_2827	384	127
3394039	3396198	-	ACL77135.1	DNA-cytosine methyltransferase	Ccel_2841	2160	719
3417503	3418753	-	ACL77161.1	DNA-cytosine methyltransferase	Ccel_2867	1251	416
3408136	3410079	-	ACL77150.1	DNA-directed DNA polymerase	Ccel_2856	1944	647
3606409	3608367	-	ACL77354.1	DNA-directed DNA polymerase	Ccel_3062	1959	652
909298	910245	+	ACL75165.1	"DNA-directed RNA polymerase, alpha subunit"	Ccel_0787	948	315
357744	361484	+	ACL74699.1	"DNA-directed RNA polymerase, beta subunit"	Ccel_0312	3741	1246
361501	365010	+	ACL74700.1	"DNA-directed RNA polymerase, beta' subunit"	Ccel_0313	3510	1169
2146289	2146495	-	ACL76140.1	"DNA-directed RNA polymerase, omega subunit"	Ccel_1790	207	68
3322300	3323940	-	ACL77063.1	Domain containing protein	Ccel_2761	1641	546
2427161	2428564	+	ACL76414.1	domain of unknown function DUF1727	Ccel_2069	1404	467
3747590	3748186	+	ACL77501.1	Domain of unknown function DUF1836	Ccel_3211	597	198
1366360	1366554	+	ACL75467.1	Domain of unknown function DUF1858	Ccel_1108	195	64
2923126	2923329	-	ACL76750.1	Domain of unknown function DUF1858	Ccel_2420	204	67
322562	323029	+	ACL74671.1	Domain of unknown function DUF1934	Ccel_0284	468	155
1745510	1745833	+	ACL75790.1	DRTGG domain-containing protein	Ccel_1436	324	107
468358	469953	-	ACL74795.1	"drug resistance transporter, EmrB/QacA subfamily"	Ccel_0411	1596	531
3001413	3002894	-	ACL76810.1	"drug resistance transporter, EmrB/QacA subfamily"	Ccel_2482	1482	493
3051474	3053246	+	ACL76856.1	"drug resistance transporter, EmrB/QacA subfamily"	Ccel_2528	1773	590
2021318	2022007	+	ACL76028.1	DSBA oxidoreductase	Ccel_1677	690	229
1253224	1254540	+	ACL75370.1	D-tagatose-bisphosphate aldolase class II accessory protein AgaZ	Ccel_1008	1317	438
2308023	2308472	-	ACL76298.1	D-tyrosyl-tRNA(Tyr) deacylase	Ccel_1950	450	149
536575	537912	+	ACL74850.1	"efflux transporter, RND family, MFP subunit"	Ccel_0468	1338	445
1944292	1945491	-	ACL75959.1	Electron transfer flavoprotein alpha subunit	Ccel_1607	1200	399
1945568	1946359	-	ACL75960.1	Electron transfer flavoprotein alpha/beta-subunit	Ccel_1608	792	263
3847918	3848328	-	ACL77591.1	endodeoxyribonuclease RusA	Ccel_3302	411	136
2241300	2241932	-	ACL76235.1	endonuclease III	Ccel_1887	633	210
2167518	2168618	-	ACL76162.1	Endonuclease/exonuclease/phosphatase	Ccel_1812	1101	366
3128573	3128953	-	ACL76921.1	endoribonuclease L-PSP	Ccel_2593	381	126
2632284	2633579	-	ACL76595.1	enolase	Ccel_2254	1296	431
2140922	2141632	+	ACL76134.1	ErfK/YbiS/YcfS/YnhG family protein	Ccel_1784	711	236
3123715	3124638	+	ACL76918.1	ErfK/YbiS/YcfS/YnhG family protein	Ccel_2590	924	307
2223015	2223257	-	ACL76215.1	Excinuclease ABC C subunit domain protein	Ccel_1867	243	80
2483235	2486063	-	ACL76464.1	"excinuclease ABC, A subunit"	Ccel_2119	2829	942
3818689	3821670	-	ACL77554.1	"excinuclease ABC, A subunit"	Ccel_3265	2982	993
1715954	1717936	+	ACL75767.1	"excinuclease ABC, B subunit"	Ccel_1413	1983	660
926527	928368	+	ACL75185.1	"excinuclease ABC, C subunit"	Ccel_0807	1842	613
3865074	3865835	-	ACL77611.1	exodeoxyribonuclease III Xth	Ccel_3322	762	253
2260730	2261944	-	ACL76252.1	"exodeoxyribonuclease VII, large subunit"	Ccel_1904	1215	404
2260501	2260737	-	ACL76251.1	"exodeoxyribonuclease VII, small subunit"	Ccel_1903	237	78
2566166	2566726	-	ACL76534.1	Exonuclease RNase T and DNA polymerase III	Ccel_2192	561	186
103985	106426	+	ACL74477.1	exonuclease V subunit alpha	Ccel_0089	2442	813
3634475	3635626	-	ACL77390.1	exopolysaccharide biosynthesis protein	Ccel_3098	1152	383
1100519	1101328	+	ACL75290.1	ExsB family protein	Ccel_0923	810	269
164518	166110	+	ACL74533.1	extracellular solute-binding protein family 1	Ccel_0145	1593	530
172536	174239	+	ACL74538.1	extracellular solute-binding protein family 1	Ccel_0150	1704	567
224941	226266	+	ACL74587.1	extracellular solute-binding protein family 1	Ccel_0200	1326	441
1068582	1069634	+	ACL75264.1	extracellular solute-binding protein family 1	Ccel_0892	1053	350
1128233	1129810	+	ACL75311.1	extracellular solute-binding protein family 1	Ccel_0948	1578	525
1236408	1237775	+	ACL75358.1	extracellular solute-binding protein family 1	Ccel_0996	1368	455
1239924	1241279	+	ACL75360.1	extracellular solute-binding protein family 1	Ccel_0998	1356	451
1264277	1266034	+	ACL75378.1	extracellular solute-binding protein family 1	Ccel_1016	1758	585
1277219	1278553	+	ACL75387.1	extracellular solute-binding protein family 1	Ccel_1025	1335	444
1393138	1394493	+	ACL75490.1	extracellular solute-binding protein family 1	Ccel_1133	1356	451
1396496	1397791	+	ACL75493.1	extracellular solute-binding protein family 1	Ccel_1136	1296	431
1552551	1554266	+	ACL75608.1	extracellular solute-binding protein family 1	Ccel_1252	1716	571
2471980	2473329	-	ACL76457.1	extracellular solute-binding protein family 1	Ccel_2112	1350	449
2477197	2478495	-	ACL76460.1	extracellular solute-binding protein family 1	Ccel_2115	1299	432
2971590	2973356	+	ACL76787.1	extracellular solute-binding protein family 1	Ccel_2458	1767	588
3547922	3549310	-	ACL77291.1	extracellular solute-binding protein family 1	Ccel_2997	1389	462
3791754	3793085	-	ACL77535.1	extracellular solute-binding protein family 1	Ccel_3246	1332	443
3892033	3893418	-	ACL77639.1	extracellular solute-binding protein family 1	Ccel_3350	1386	461
500544	501503	-	ACL74819.1	extracellular solute-binding protein family 3	Ccel_0437	960	319
1062637	1063491	+	ACL75257.1	extracellular solute-binding protein family 3	Ccel_0885	855	284
1973026	1973898	-	ACL75986.1	extracellular solute-binding protein family 3	Ccel_1635	873	290
3122558	3123364	-	ACL76917.1	extracellular solute-binding protein family 3	Ccel_2589	807	268
46249	47865	-	ACL74432.1	extracellular solute-binding protein family 5	Ccel_0044	1617	538
702983	704632	+	ACL74989.1	extracellular solute-binding protein family 5	Ccel_0608	1650	549
2115803	2117542	-	ACL76119.1	extracellular solute-binding protein family 5	Ccel_1768	1740	579
1120538	1121911	-	ACL75306.1	FAD dependent oxidoreductase	Ccel_0943	1374	457
1129898	1131271	+	ACL75312.1	FAD dependent oxidoreductase	Ccel_0949	1374	457
1470829	1472409	+	ACL75560.1	FAD dependent oxidoreductase	Ccel_1203	1581	526
1705620	1707020	-	ACL75757.1	FAD dependent oxidoreductase	Ccel_1403	1401	466
2955394	2956926	+	ACL76777.1	FAD dependent oxidoreductase	Ccel_2448	1533	510
411861	412736	+	ACL74745.1	FAD-dependent pyridine nucleotide-disulphide oxidoreductase	Ccel_0360	876	291
1370121	1372130	+	ACL75470.1	FAD-dependent pyridine nucleotide-disulphide oxidoreductase	Ccel_1112	2010	669
1405958	1408411	-	ACL75501.1	FAD-dependent pyridine nucleotide-disulphide oxidoreductase	Ccel_1144	2454	817
3002933	3004267	-	ACL76811.1	FAD-dependent pyridine nucleotide-disulphide oxidoreductase	Ccel_2483	1335	444
2512447	2512845	-	ACL76487.1	Fascin family protein	Ccel_2144	399	132
786226	787254	+	ACL75061.1	fatty acid/phospholipid synthesis protein PlsX	Ccel_0681	1029	342
2363432	2363653	-	ACL76346.1	FeoA family protein	Ccel_1998	222	73
2614136	2614507	-	ACL76576.1	ferredoxin	Ccel_2234	372	123
3734636	3736480	+	ACL77491.1	ferredoxin	Ccel_3201	1845	614
2360944	2361384	-	ACL76343.1	"ferric uptake regulator, Fur family"	Ccel_1995	441	146
3559638	3560069	+	ACL77301.1	"ferric uptake regulator, Fur family"	Ccel_3007	432	143
45662	46177	+	ACL74431.1	Ferritin Dps family protein	Ccel_0043	516	171
2281517	2281978	-	ACL76279.1	FeS cluster assembly scaffold protein NifU	Ccel_1931	462	153
590582	592009	+	ACL74893.1	FHA domain containing protein	Ccel_0511	1428	475
