assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material
GCA_000968395.2,PRJNA277733,SAMN03395044,,na,2287,2287,Saccharolobus solfataricus,strain=SARC-C,,latest,Complete Genome,Major,Full,10/25/18,ASM96839v2,University of Nebraska-Lincoln,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/968/395/GCA_000968395.2_ASM96839v2,missing tRNA genes,
GCA_000968435.2,PRJNA279935,SAMN03452280,,na,2287,2287,Saccharolobus solfataricus,strain=SULA,98/2,latest,Complete Genome,Major,Full,10/31/18,ASM96843v2,University of Nebraska-Lincoln,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/968/435/GCA_000968435.2_ASM96843v2,missing tRNA genes ; validation errors,
GCA_003852095.1,PRJNA347857,SAMN05896748,,na,2287,2287,Saccharolobus solfataricus,strain=SARC-O,,latest,Complete Genome,Major,Full,11/29/18,ASM385209v1,University of Nebraska-Lincoln,GCF_003852095.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/852/095/GCA_003852095.1_ASM385209v1,,
GCA_003852115.1,PRJNA352873,SAMN06006254,,na,2287,2287,Saccharolobus solfataricus,strain=SUL120,,latest,Complete Genome,Major,Full,11/29/18,ASM385211v1,University of Nebraska-Lincoln,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/852/115/GCA_003852115.1_ASM385211v1,missing tRNA genes,
GCA_003852135.1,PRJNA347847,SAMN05896255,,na,2287,2287,Saccharolobus solfataricus,strain=SULG,,latest,Complete Genome,Major,Full,11/29/18,ASM385213v1,University of Nebraska-Lincoln,GCF_003852135.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/852/135/GCA_003852135.1_ASM385213v1,,
GCA_003852155.1,PRJNA347854,SAMN05896746,,na,2287,2287,Saccharolobus solfataricus,strain=SULM,,latest,Complete Genome,Major,Full,11/29/18,ASM385215v1,University of Nebraska-Lincoln,GCF_003852155.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/852/155/GCA_003852155.1_ASM385215v1,,
GCA_003852175.1,PRJNA347855,SAMN05896747,,na,2287,2287,Saccharolobus solfataricus,strain=SARC-N,,latest,Complete Genome,Major,Full,11/29/18,ASM385217v1,University of Nebraska-Lincoln,GCF_003852175.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/852/175/GCA_003852175.1_ASM385217v1,,
GCA_003852195.1,PRJNA347851,SAMN05896744,,na,2287,2287,Saccharolobus solfataricus,strain=SARC-H,,latest,Complete Genome,Major,Full,11/29/18,ASM385219v1,University of Nebraska-Lincoln,GCF_003852195.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/852/195/GCA_003852195.1_ASM385219v1,,
GCA_003852215.1,PRJNA347852,SAMN05896745,,na,2287,2287,Saccharolobus solfataricus,strain=SARC-I,,latest,Complete Genome,Major,Full,11/29/18,ASM385221v1,University of Nebraska-Lincoln,GCF_003852215.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/852/215/GCA_003852215.1_ASM385221v1,,
GCA_900079115.1,PRJEB13308,SAMEA3920617,,representative genome,2287,2287,Saccharolobus solfataricus,strain=P1,,latest,Complete Genome,Major,Full,4/11/16,SSOP1,Institute of Biology,GCF_900079115.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/079/115/GCA_900079115.1_SSOP1,,assembly from type material
GCA_000195915.1,PRJNA110,SAMEA3138325,,representative genome,273075,2303,Thermoplasma acidophilum DSM 1728,strain=DSM1728,,latest,Complete Genome,Major,Full,5/6/03,ASM19591v1,Max-Plank-Institute,GCF_000195915.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/915/GCA_000195915.1_ASM19591v1,,assembly from type material
GCA_000243255.1,PRJNA61291,SAMN02261391,AHKP00000000.1,representative genome,937775,2315,Methanoplanus limicola DSM 2279,strain=DSM 2279,,latest,Chromosome,Major,Full,1/24/12,ASM24325v1,JGI,GCF_000243255.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/243/255/GCA_000243255.1_ASM24325v1,,assembly from type material
GCA_000012545.1,PRJNA15579,SAMN02604180,,representative genome,339860,2317,Methanosphaera stadtmanae DSM 3091,strain=DSM 3091,,latest,Complete Genome,Major,Full,1/5/06,ASM1254v1,University of Goettingen,GCF_000012545.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/545/GCA_000012545.1_ASM1254v1,,assembly from type material
GCA_902384015.1,PRJEB33885,SAMEA5851668,,na,2317,2317,Methanosphaera stadtmanae,,MGYG-HGUT-02164,latest,Complete Genome,Major,Full,8/10/19,UHGG_MGYG-HGUT-02164,EMG,GCF_902384015.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/384/015/GCA_902384015.1_UHGG_MGYG-HGUT-02164,,
GCA_000007185.1,PRJNA294,SAMN02603235,,na,190192,2320,Methanopyrus kandleri AV19,strain=AV19,,latest,Complete Genome,Major,Full,4/3/02,ASM718v1,Fidelity Systems,GCF_000007185.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/185/GCA_000007185.1_ASM718v1,,assembly from type material
GCA_000196655.1,PRJNA37945,SAMN00015125,,representative genome,644295,2322,Methanohalobium evestigatum Z-7303,strain=Z-7303,,latest,Complete Genome,Major,Full,6/15/10,ASM19665v1,US DOE Joint Genome Institute,GCF_000196655.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/655/GCA_000196655.1_ASM19665v1,,assembly from type material
GCA_000025625.1,PRJNA30691,SAMN02598473,,representative genome,547559,13769,Natrialba magadii ATCC 43099,strain=ATCC 43099,,latest,Complete Genome,Major,Full,2/24/10,ASM2562v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000025625.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/625/GCA_000025625.1_ASM2562v1,,assembly from type material
GCA_000007225.1,PRJNA172,SAMN02604075,,na,178306,13773,Pyrobaculum aerophilum str. IM2,strain=IM2,,latest,Complete Genome,Major,Full,1/24/02,ASM722v1,UCLA/CalTech,GCF_000007225.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/225/GCA_000007225.1_ASM722v1,,assembly from type material
GCA_002355655.1,PRJDB4921,SAMD00053811,,na,29284,29284,Halorubrum trapanicum,strain=CBA1232,,latest,Complete Genome,Major,Full,7/1/16,ASM235565v1,Korea Basic Science Institute,GCF_002355655.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/355/655/GCA_002355655.1_ASM235565v1,,
GCA_000328685.1,PRJNA46985,SAMN02261263,,representative genome,694430,29288,Natronococcus occultus SP4,strain=SP4,,latest,Complete Genome,Major,Full,12/28/12,ASM32868v1,JGI,GCF_000328685.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/328/685/GCA_000328685.1_ASM32868v1,,assembly from type material
GCA_000013725.1,PRJNA9634,SAMN02598545,,representative genome,259564,29291,Methanococcoides burtonii DSM 6242,strain=DSM 6242,,latest,Complete Genome,Major,Full,4/10/06,ASM1372v1,DOE Joint Genome Institute,GCF_000013725.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/725/GCA_000013725.1_ASM1372v1,,assembly from type material
GCA_000195935.2,PRJNA179,SAMEA3283067,,representative genome,272844,29292,Pyrococcus abyssi GE5,,,latest,Complete Genome,Major,Full,5/6/03,ASM19593v2,Genoscope,GCF_000195935.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/935/GCA_000195935.2_ASM19593v2,,assembly from type material
GCA_001190965.1,PRJNA285662,SAMN03755233,,na,35746,35746,Haloferax gibbonsii,strain=ARA6,,latest,Complete Genome,Major,Full,8/3/15,ASM119096v1,Universidade do Estado do Rio de Janeiro,GCF_001190965.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/190/965/GCA_001190965.1_ASM119096v1,,
GCA_000970085.1,PRJNA230953,SAMN03074589,,representative genome,1434120,38027,Methanosarcina siciliae T4/M,strain=T4/M,,latest,Complete Genome,Major,Full,4/7/15,ASM97008v1,University of Illinois at Urbana-Champaign,GCF_000970085.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/085/GCA_000970085.1_ASM97008v1,,assembly from type material
GCA_000970125.1,PRJNA230952,SAMN03074588,,na,1434119,38027,Methanosarcina siciliae HI350,strain=HI350,,latest,Complete Genome,Major,Full,4/7/15,ASM97012v1,University of Illinois at Urbana-Champaign,GCF_000970125.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/125/GCA_000970125.1_ASM97012v1,,
GCA_000970145.1,PRJNA230951,SAMN03074587,,na,1434118,38027,Methanosarcina siciliae C2J,strain=C2J,,latest,Complete Genome,Major,Full,4/7/15,ASM97014v1,University of Illinois at Urbana-Champaign,GCF_000970145.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/145/GCA_000970145.1_ASM97014v1,,
GCA_000011585.1,PRJNA10632,SAMEA3138215,,na,267377,39152,Methanococcus maripaludis S2,strain=S2,,latest,Complete Genome,Major,Full,3/4/04,ASM1158v1,University of Washington,GCF_000011585.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/585/GCA_000011585.1_ASM1158v1,,
GCA_000016125.1,PRJNA17641,SAMN02598397,,na,402880,39152,Methanococcus maripaludis C5,strain=C5,,latest,Complete Genome,Major,Full,3/15/07,ASM1612v1,DOE Joint Genome Institute,GCF_000016125.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/125/GCA_000016125.1_ASM1612v1,,
GCA_000017225.1,PRJNA18819,SAMN00000031,,representative genome,426368,39152,Methanococcus maripaludis C7,strain=C7,,latest,Complete Genome,Major,Full,6/29/07,ASM1722v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000017225.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/225/GCA_000017225.1_ASM1722v1,,
GCA_000018485.1,PRJNA19639,SAMN02598423,,na,444158,39152,Methanococcus maripaludis C6,strain=C6,,latest,Complete Genome,Major,Full,11/13/07,ASM1848v1,US DOE Joint Genome Institute,GCF_000018485.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/485/GCA_000018485.1_ASM1848v1,,
GCA_000220645.1,PRJNA68579,SAMN02603718,,representative genome,1053692,39152,Methanococcus maripaludis X1,strain=X1,,latest,Complete Genome,Major,Full,7/14/11,ASM22064v1,"Ecosystem Sciences, Commonwealth Scientific and Industrial Research Organisation ",GCF_000220645.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/220/645/GCA_000220645.1_ASM22064v1,,
GCA_000828535.1,PRJDA34063,SAMD00170763,,na,637914,39152,Methanococcus maripaludis KA1,strain=KA1,,latest,Complete Genome,Major,Full,10/1/14,ASM82853v1,National Institute of Technology and Evaluation,GCF_000828535.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/828/535/GCA_000828535.1_ASM82853v1,,
GCA_000828555.1,PRJDA34065,SAMD00170764,,na,637915,39152,Methanococcus maripaludis OS7,strain=OS7,,latest,Complete Genome,Major,Full,10/1/14,ASM82855v1,National Institute of Technology and Evaluation,GCF_000828555.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/828/555/GCA_000828555.1_ASM82855v1,,
GCA_002945325.1,PRJNA432904,SAMN08466362,,na,39152,39152,Methanococcus maripaludis,strain=DSM 2067,,latest,Complete Genome,Major,Full,2/12/18,ASM294532v1,Goettingen Genomics Laboratory,GCF_002945325.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/945/325/GCA_002945325.1_ASM294532v1,,assembly from type material
GCA_003052125.1,PRJNA378823,SAMN06562580,,na,39152,39152,Methanococcus maripaludis,strain=OS7mut1,,latest,Complete Genome,Major,Full,4/16/18,ASM305212v1,Kagoshima University,GCF_003052125.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/052/125/GCA_003052125.1_ASM305212v1,,
GCA_002761295.1,PRJNA348536,SAMN05908879,,na,39664,39664,Methanohalophilus portucalensis,strain=FDF-1T,,latest,Chromosome,Major,Full,11/7/17,ASM276129v1,Macumba,GCF_002761295.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/761/295/GCA_002761295.1_ASM276129v1,,assembly from type material
GCA_000217995.1,PRJNA40771,SAMN02232039,,representative genome,679901,39669,Methanosalsum zhilinae DSM 4017,strain=DSM 4017,,latest,Complete Genome,Major,Full,6/13/11,ASM21799v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000217995.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/217/995/GCA_000217995.1_ASM21799v1,,assembly from type material
GCA_003201835.1,PRJNA463410,SAMN09071529,,na,41673,41673,Acidianus brierleyi,strain=DSM 1651,,latest,Complete Genome,Major,Full,6/7/18,ASM320183v1,North Carolina State University,GCF_003201835.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/201/835/GCA_003201835.1_ASM320183v1,,assembly from type material
GCA_009729035.1,PRJNA488459,SAMN09933091,,na,41675,41675,Stygiolobus azoricus,strain=FC6,,latest,Complete Genome,Major,Full,12/4/19,ASM972903v1,North Carolina State University,GCF_009729035.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/729/035/GCA_009729035.1_ASM972903v1,,
GCA_000017185.1,PRJNA18641,SAMN00623051,,representative genome,419665,42879,Methanococcus aeolicus Nankai-3,strain=Nankai-3,,latest,Complete Genome,Major,Full,6/29/07,ASM1718v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000017185.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/185/GCA_000017185.1_ASM1718v1,,assembly from type material
GCA_000022385.1,PRJNA18987,SAMN02598420,,representative genome,429572,43080,Sulfolobus islandicus L.S.2.15,strain=L.S.2.15,,latest,Complete Genome,Major,Full,4/24/09,ASM2238v1,US DOE Joint Genome Institute,GCF_000022385.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/385/GCA_000022385.1_ASM2238v1,,
GCA_000022405.1,PRJNA18871,SAMN02598416,,na,427317,43080,Sulfolobus islandicus M.14.25,strain=M.14.25,,latest,Complete Genome,Major,Full,4/24/09,ASM2240v1,US DOE Joint Genome Institute,GCF_000022405.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/405/GCA_000022405.1_ASM2240v1,,
GCA_000022425.1,PRJNA18873,SAMN02598417,,na,427318,43080,Sulfolobus islandicus M.16.27,strain=M.16.27,,latest,Complete Genome,Major,Full,4/29/09,ASM2242v1,US DOE Joint Genome Institute,GCF_000022425.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/425/GCA_000022425.1_ASM2242v1,,
GCA_000022445.1,PRJNA18807,SAMN02598414,,na,426118,43080,Sulfolobus islandicus M.16.4,strain=M.16.4,,latest,Complete Genome,Major,Full,5/27/09,ASM2244v1,US DOE Joint Genome Institute,GCF_000022445.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/445/GCA_000022445.1_ASM2244v1,,
GCA_000022465.1,PRJNA19487,SAMN02598422,,na,439386,43080,Sulfolobus islandicus Y.G.57.14,strain=Y.G.57.14,,latest,Complete Genome,Major,Full,4/29/09,ASM2246v1,US DOE Joint Genome Institute,GCF_000022465.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/465/GCA_000022465.1_ASM2246v1,,
GCA_000022485.1,PRJNA18651,SAMN02598411,,na,419942,43080,Sulfolobus islandicus Y.N.15.51,strain=Y.N.15.51,,latest,Complete Genome,Major,Full,4/29/09,ASM2248v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000022485.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/485/GCA_000022485.1_ASM2248v1,,
GCA_000024305.1,PRJNA18803,SAMN02598413,,na,425944,43080,Sulfolobus islandicus L.D.8.5,strain=L.D.8.5,,latest,Chromosome,Major,Full,1/22/10,ASM2430v1,US DOE Joint Genome Institute,GCF_000024305.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/305/GCA_000024305.1_ASM2430v1,,
GCA_000189555.1,PRJNA60485,SAMN02603882,,na,930945,43080,Sulfolobus islandicus REY15A,strain=REY15A,,latest,Complete Genome,Major,Full,2/16/11,ASM18955v1,"State Key Laboratory of Microbial Resources, Institute of Microbiology, CAS, Beijing, P. R. China",GCF_000189555.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/189/555/GCA_000189555.1_ASM18955v1,,
GCA_000189575.1,PRJNA60481,SAMN02602983,,na,930943,43080,Sulfolobus islandicus HVE10/4,strain=HVE10/4,,latest,Complete Genome,Major,Full,2/16/11,ASM18957v1,"Archaea Centre, Department of Biology, University of Copenhagen, 2200 Copenhagen N, Denmark",GCF_000189575.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/189/575/GCA_000189575.1_ASM18957v1,,
GCA_000245095.2,PRJNA80889,SAMN02471813,AHJK00000000.1,na,1132497,43080,Sulfolobus islandicus M.16.2,strain=M.16.2,,latest,Chromosome,Major,Full,1/25/12,ASM24509v2,University of Illinois,GCF_000245095.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/245/095/GCA_000245095.2_ASM24509v2,,
GCA_000245175.2,PRJNA80897,SAMN02471819,AHJO00000000.1,na,1132501,43080,Sulfolobus islandicus M.16.23,strain=M.16.23,,latest,Chromosome,Major,Full,1/25/12,ASM24517v2,University of Illinois,GCF_000245175.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/245/175/GCA_000245175.2_ASM24517v2,,
GCA_000245215.2,PRJNA80901,SAMN02471808,AHJQ00000000.1,na,1132503,43080,Sulfolobus islandicus M.16.40,strain=M.16.40,,latest,Chromosome,Major,Full,1/25/12,ASM24521v2,University of Illinois,GCF_000245215.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/245/215/GCA_000245215.2_ASM24521v2,,
GCA_000245235.2,PRJNA80903,SAMN02471809,AHJR00000000.1,na,1132504,43080,Sulfolobus islandicus M.16.43,strain=M.16.43,,latest,Chromosome,Major,Full,1/25/12,ASM24523v2,University of Illinois,GCF_000245235.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/245/235/GCA_000245235.2_ASM24523v2,,
GCA_000245275.2,PRJNA80907,SAMN02471811,AHJT00000000.1,na,1132506,43080,Sulfolobus islandicus M.16.47,strain=M.16.47,,latest,Chromosome,Major,Full,1/25/12,ASM24527v2,University of Illinois,GCF_000245275.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/245/275/GCA_000245275.2_ASM24527v2,,
GCA_000364745.1,PRJNA177222,SAMN02603709,,na,1241935,43080,Sulfolobus islandicus LAL14/1,strain=LAL14/1,,latest,Complete Genome,Major,Full,4/15/13,ASM36474v1,"Pasteur Institute, Paris, France",GCF_000364745.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/364/745/GCA_000364745.1_ASM36474v1,,
GCA_000016605.1,PRJNA17447,SAMN02598389,,representative genome,399549,43687,Metallosphaera sedula DSM 5348,strain=DSM 5348,,latest,Complete Genome,Major,Full,4/25/07,ASM1660v1,US DOE Joint Genome Institute,GCF_000016605.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/605/GCA_000016605.1_ASM1660v1,,assembly from type material
GCA_000747605.1,PRJNA253049,SAMN02866348,,na,43687,43687,Metallosphaera sedula,strain=CuR1,,latest,Chromosome,Major,Full,9/4/14,ASM74760v1,University of Nebraska-Lincoln,GCF_000747605.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/747/605/GCA_000747605.1_ASM74760v1,,
GCA_001266655.1,PRJNA289697,SAMN03857118,,na,43687,43687,Metallosphaera sedula,strain=ARS50-1,,latest,Complete Genome,Major,Full,8/12/15,ASM126665v1,University of Nebraska-Lincoln,GCF_001266655.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/266/655/GCA_001266655.1_ASM126665v1,,
GCA_001266675.1,PRJNA289701,SAMN03857124,,na,43687,43687,Metallosphaera sedula,strain=ARS50-2,,latest,Complete Genome,Major,Full,8/12/15,ASM126667v1,University of Nebraska-Lincoln,GCF_001266675.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/266/675/GCA_001266675.1_ASM126667v1,,
GCA_001266695.1,PRJNA289698,SAMN03857129,,na,43687,43687,Metallosphaera sedula,strain=ARS120-1,,latest,Complete Genome,Major,Full,8/12/15,ASM126669v1,University of Nebraska-Lincoln,GCF_001266695.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/266/695/GCA_001266695.1_ASM126669v1,,
GCA_001266715.1,PRJNA289699,SAMN03857133,,na,43687,43687,Metallosphaera sedula,strain=ARS120-2,,latest,Complete Genome,Major,Full,8/12/15,ASM126671v1,University of Nebraska-Lincoln,GCF_001266715.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/266/715/GCA_001266715.1_ASM126671v1,,
GCA_001266735.1,PRJNA290374,SAMN03890864,,na,43687,43687,Metallosphaera sedula,strain=SARC-M1,,latest,Complete Genome,Major,Full,8/12/15,ASM126673v1,University of Nebraska-Lincoln,GCF_001266735.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/266/735/GCA_001266735.1_ASM126673v1,,
GCA_000230715.3,PRJNA60135,SAMN02232042,,representative genome,797304,44930,Natronobacterium gregoryi SP2,strain=SP2,,latest,Complete Genome,Major,Full,12/10/12,ASM23071v3,DOE Joint Genome Institute,GCF_000230715.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/230/715/GCA_000230715.3_ASM23071v3,,assembly from type material
GCA_000200715.1,PRJNA202,SAMN02744041,,na,414004,46770,Cenarchaeum symbiosum A,,,latest,Chromosome,Major,Full,11/20/06,ASM20071v1,DOE Joint Genome Institute,GCF_000200715.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/200/715/GCA_000200715.1_ASM20071v1,derived from environmental source,
GCA_005222525.1,PRJNA463410,SAMN09071532,,na,47304,47304,Metallosphaera prunae,strain=Ron 12/II,,latest,Complete Genome,Major,Full,5/7/19,ASM522252v1,North Carolina State University,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/222/525/GCA_005222525.1_ASM522252v1,,assembly from type material
GCA_002214585.1,PRJNA274230,SAMN03324163,,representative genome,49899,49899,Thermococcus profundus,strain=DT 5432,,latest,Complete Genome,Major,Full,7/5/17,ASM221458v1,Ecole Normale Superieure de Lyon,GCF_002214585.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/214/585/GCA_002214585.1_ASM221458v1,,assembly from synonym type material
GCA_000011185.1,PRJNA206,SAMD00061089,,representative genome,273116,50339,Thermoplasma volcanium GSS1,strain=GSS1,,latest,Complete Genome,Major,Full,5/11/04,ASM1118v1,"National Institute of Advanced Industrial Science and Technology, Japan",GCF_000011185.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/185/GCA_000011185.1_ASM1118v1,,assembly from type material
GCA_000223905.1,PRJNA68523,SAMN02602960,,representative genome,634497,51589,Haloarcula hispanica ATCC 33960,strain=CGMCC 1.2049,,latest,Complete Genome,Major,Full,8/17/11,ASM22390v1," Institute of Microbiology, Chinese Academy of Sciences",GCF_000223905.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/905/GCA_000223905.1_ASM22390v1,,assembly from type material
GCA_000504565.2,PRJNA227070,SAMN02393367,,na,1417673,51589,Haloarcula hispanica N601,strain=N601,,latest,Complete Genome,Major,Full,1/9/14,ASM50456v2,"Academia Sinica, Taipei, Taiwan",GCF_000504565.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/504/565/GCA_000504565.2_ASM50456v2,,
GCA_001592435.1,PRJNA274230,SAMN03324162,,na,53952,53952,Thermococcus peptonophilus,strain=OG-1,,latest,Complete Genome,Major,Full,3/15/16,ASM159243v1,Ecole Normale Superieure de Lyon,GCF_001592435.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/592/435/GCA_001592435.1_ASM159243v1,,assembly from type material
GCA_000011105.1,PRJNA207,SAMD00061090,,representative genome,70601,53953,Pyrococcus horikoshii OT3,strain=OT3,,latest,Complete Genome,Major,Full,5/11/04,ASM1110v1,NITE,GCF_000011105.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/105/GCA_000011105.1_ASM1110v1,,assembly from type material
GCA_002214465.1,PRJNA274230,SAMN03324153,,representative genome,54077,54077,Thermococcus barossii,strain=SHCK-94,,latest,Complete Genome,Major,Full,7/5/17,ASM221446v1,Ecole Normale Superieure de Lyon,GCF_002214465.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/214/465/GCA_002214465.1_ASM221446v1,,assembly from type material
GCA_000147875.1,PRJNA40773,SAMN00017400,,representative genome,679926,54120,Methanolacinia petrolearia DSM 11571,,,latest,Complete Genome,Major,Full,9/17/10,ASM14787v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000147875.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/875/GCA_000147875.1_ASM14787v1,,assembly from type material
GCA_000015145.1,PRJNA208,SAMN02604082,,representative genome,415426,54248,Hyperthermus butylicus DSM 5456,strain=DSM 5456,,latest,Complete Genome,Major,Full,1/22/07,ASM1514v1,Univ. Copenhagen,GCF_000015145.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/145/GCA_000015145.1_ASM1514v1,,assembly from type material
GCA_000223395.1,PRJNA48579,SAMN02232047,,representative genome,694429,54252,Pyrolobus fumarii 1A,strain=1A,,latest,Complete Genome,Major,Full,8/12/11,ASM22339v1,DOE Joint Genome Institute,GCF_000223395.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/395/GCA_000223395.1_ASM22339v1,,assembly from type material
GCA_000092185.1,PRJNA36571,SAMN02598509,,na,633148,54254,Thermosphaera aggregans DSM 11486,strain=DSM 11486,,latest,Complete Genome,Major,Full,5/17/10,ASM9218v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000092185.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/185/GCA_000092185.1_ASM9218v1,,assembly from type material
